,gene,before_wash,plate,color,position,ratio,source,ecdf,median_or_mean,384_row,384_col,coord,name,function
32,SPAC3G9.07c,0.451063829787234,4,blue,H_1_,0.22069495432425507,bioneer,0.9894109861019192,median,[15],[2],4_[15]_[2],hos2,histone deacetylase (class I) Hos2
33,SPBC543.09,0.2681818181818182,8,yellow,D_7_,0.21640435835351085,bioneer,0.9890800794176042,median,[8],[13],8_[8]_[13],yta12,mitochondrial m-AAA protease Yta12
34,SPBC16G5.15c,0.235,9,green,D_11_,0.21491510853212983,bioneer,0.9887491727332892,median,[8],[22],9_[8]_[22],fkh2,DNA-binding forkhead transcription factor Fkh2
35,SPAC13G6.09,0.1435185185185185,1,yellow,B_8_,0.2111436950146628,bioneer,0.9884182660489742,median,[4],[15],1_[4]_[15],trs402,SSU-rRNA maturation protein Tsr4 homolog 2 Tsr402
36,SPCC11E10.08,0.1893203883495146,2,green,A_3_,0.2081596564355185,bioneer,0.9880873593646592,median,[2],[6],2_[2]_[6],rik1,CLRC ubiquitin ligase complex WD repeat protein Rik1
37,SPAC2F7.07c,0.6086956521739131,7,green,H_10_,0.20720720720720717,bioneer,0.9877564526803442,median,[16],[20],7_[16]_[20],cph2,Clr6 histone deacetylase associated PHD-finger protein Cph2
38,SPAC30C2.06c,0.540909090909091,8,yellow,E_2_,0.20633253301320517,bioneer,0.9874255459960292,median,[10],[3],8_[10]_[3],dml1,"mitochondrial inheritance GTPase, tubulin-like"
39,SPBC776.03,0.5752212389380531,6,green,H_8_,0.19223372781065087,bioneer,0.9870946393117142,median,[16],[16],6_[16]_[16],hom6,homoserine dehydrogenase Hom6
40,SPAC14C4.10c,0.37777777777777777,5,blue,A_3_,0.19164226776683524,bioneer,0.986763732627399,median,[1],[6],5_[1]_[6],,Nudix family hydrolase
41,SPAC3H5.10,0.27631578947368424,5,yellow,D_9_,0.19131529263687855,bioneer,0.986432825943084,median,[8],[17],5_[8]_[17],rpl3202,60S ribosomal protein L32
42,SPAC17H9.19c,0.5671641791044777,3,green,A_2_,0.19014447884416924,bioneer,0.986101919258769,median,[2],[4],3_[2]_[4],cdt2,WD repeat protein Cdt2
43,SPAC26A3.04,0.5959595959595959,9,red,A_9_,0.1873870773466403,bioneer,0.985771012574454,median,[1],[17],9_[1]_[17],rpl2002,60S ribosomal protein L20A
44,SPBC29A3.13,0.6354166666666666,2,yellow,A_2_,0.18514946962391515,bioneer,0.985440105890139,median,[2],[3],2_[2]_[3],pdp1,PWWP domain protein Pdp1
45,SPBC1198.11c,0.10999999999999999,9,green,D_2_,0.18365472910927463,bioneer,0.985109199205824,median,[8],[4],9_[8]_[4],reb1,RNA polymerase I transcription termination factor/ RNA polymerase II transcription factor Reb1
46,SPBC18E5.09c,0.4809523809523809,10,blue,A_10_,0.18033946251768038,bioneer,0.984778292521509,median,[1],[20],10_[1]_[20],,Schizosaccharomyces specific protein
47,SPCC1393.08,0.1142857142857143,5,red,C_3_,0.17326732673267317,bioneer,0.9844473858371939,median,[5],[5],5_[5]_[5],fil1,"DNA-binding transcription factor, zf-GATA type"
48,SPBC1711.04,0.3187772925764192,6,blue,B_2_,0.1718896603490336,bioneer,0.9841164791528789,median,[3],[4],6_[3]_[4],mtd1,methylenetetrahydrofolate reductase Mtd1
49,SPAC24C9.12c,0.18099547511312217,4,yellow,H_2_,0.17112831858407077,bioneer,0.9837855724685639,median,[16],[3],4_[16]_[3],shm1,serine hydroxymethyltransferase Shm1
50,SPAC6B12.12,0.2127659574468085,4,blue,H_9_,0.17013574660633476,bioneer,0.9834546657842489,median,[15],[18],4_[15]_[18],tom70,mitochondrial TOM complex TPR repeat subunit Tom70
51,SPCC1223.05c,0.587378640776699,2,green,A_4_,0.16773195456581036,bioneer,0.9831237590999338,median,[2],[8],2_[2]_[8],rpl3702,60S ribosomal protein L37
52,SPAC22E12.05c,0.3555555555555555,5,blue,B_2_,0.16544117647058829,bioneer,0.9827928524156188,median,[3],[4],5_[3]_[4],rer1,Rer1 family protein
53,SPBC19F8.06c,0.49056603773584906,9,blue,B_11_,0.16389640510243528,bioneer,0.9824619457313037,median,[3],[22],9_[3]_[22],meu22,amino acid transmembrane transporter Meu22
54,SPBC17G9.02c,0.4056603773584906,9,blue,B_2_,0.1610377468739044,bioneer,0.9821310390469887,median,[3],[4],9_[3]_[4],cdc73,"RNA polymerase II accessory factor, Cdc73 family"
55,SPBC29A3.09c,0.71875,2,yellow,A_1_,0.15686274509803924,bioneer,0.9818001323626737,median,[2],[1],2_[2]_[1],gcn20,AAA family ATPase Gcn20
56,SPAPB18E9.01,0.1269035532994924,1,red,H_8_,0.15681592039800987,bioneer,0.9814692256783587,median,[15],[15],1_[15]_[15],trm5,tRNA (guanine(37)-N(1))-methyltransferase activity Trm5
57,SPAC57A7.08,0.5124378109452736,3,green,D_2_,0.15305539691604797,bioneer,0.9811383189940437,median,[8],[4],3_[8]_[4],pzh1,serine/threonine protein phosphatase Pzh1
58,SPAC11G7.04,0.3005181347150259,4,green,E_11_,0.15264156912369503,bioneer,0.9808074123097287,median,[10],[22],4_[10]_[22],ubi1,ribosomal-ubiquitin fusion protein Ubi1
59,SPCC1259.03,0.4223300970873786,2,green,A_9_,0.1516335428344941,bioneer,0.9804765056254137,median,[2],[18],2_[2]_[18],rpa12,DNA-directed RNA polymerase complex I TFIIS subunit Rpa12
60,SPCC191.09c,0.5336787564766838,4,green,D_6_,0.0,bioneer,0.05559232296492389,control,[8],[12],4_[8]_[12],gst1,glutathione S-transferase Gst1
61,SPAC8E11.06,0.6900000000000001,8,red,E_1_,0.0,bioneer,0.05526141628060888,control,[9],[1],8_[9]_[1],,Schizosaccharomyces pombe specific protein
62,SPBC32F12.07c,0.5133928571428571,7,yellow,B_6_,0.0,bioneer,0.00033090668431501324,control,[4],[11],7_[4]_[11],,"membrane associated ubiquitin-protein ligase E3, MARCH family"
63,SPCC23B6.05c,0.11545555555555555,8,red,D_1_,0.5471662801115674,,,mean,[7],[1],8_[7]_[1],ssb3,DNA replication factor A subunit Ssb3
64,SPAC26A3.01,0.12077008248906601,7,blue,E_4_,0.47881474418626,,,mean,[9],[8],7_[9]_[8],sxa1,aspartic protease Sxa1
65,SPBC365.03c,0.20268128970394345,5,green,B_12_,0.3127216755460554,,,mean,[4],[24],5_[4]_[24],rpl2101,60S ribosomal protein L21
66,SPAC12B10.10,0.1572547265461919,7,green,G_6_,0.29815530384994376,,,mean,[14],[12],7_[14]_[12],nod1,medial cortical node Gef2-related protein Nod1
67,SPAPB1A10.10c,0.2351023319615912,5,blue,C_2_,0.2839493927909204,,,mean,[5],[4],5_[5]_[4],ypt71,GTPase Ypt71
68,SPAC22F3.09c,0.4238223660553757,5,green,H_10_,0.2777114554093574,,,mean,[16],[20],5_[16]_[20],res2,MBF transcription factor complex subunit Res2
69,SPAC16.03c,0.11403508771929821,8,green,F_3_,0.2761975524475525,,,mean,[12],[6],8_[12]_[6],ura2,dihydroorotase Ura2
70,SPAC13C5.04,0.1681349794238683,5,blue,E_1_,0.27250125834046496,,,mean,[9],[2],5_[9]_[2],,"class I glutamine amidotransferase family protein, conserved in fungi, bacteria, plants"
71,SPBC21H7.07c,0.4310640025990903,5,yellow,G_12_,0.26308439170541237,,,mean,[14],[23],5_[14]_[23],his5,imidazoleglycerol-phosphate dehydratase His5
72,SPBC3B8.05,0.6316718874761992,3,green,F_12_,0.26299451331204626,,,mean,[12],[24],3_[12]_[24],dph1,diphthamide biosynthesis protein Dph1
73,SPAC22E12.04,0.3953567136457993,6,green,H_12_,0.2538804442096714,,,mean,[16],[24],6_[16]_[24],ccs1,superoxide dismutase copper chaperone Ccs1
74,SPCC4B3.10c,0.35055617283950613,9,green,H_4_,0.25277381982159747,,,mean,[16],[8],9_[16]_[8],ipk1,"inositol 1,3,4,5,6-pentakisphosphate (IP5) kinase"
75,SPAC23A1.14c,0.2800400548696845,5,blue,B_3_,0.25196703576737284,,,mean,[3],[6],5_[3]_[6],,"pyridoxal phosphate-dependent transferase, unknown specificity, implicated in sulfur compound metabolism"
76,SPAC5D6.02c,0.5678392268588347,4,yellow,H_12_,0.2508248090161678,,,mean,[16],[23],4_[16]_[23],mug165,Clr6 histone deacetylase complex subunit Mug165
77,SPCC1322.16,0.39397956954004154,6,green,H_9_,0.24942722508163795,,,mean,[16],[18],6_[16]_[18],phb2,prohibitin Phb2
78,SPAC6G9.14,0.4745425629413985,6,blue,H_2_,0.24215748007584423,,,mean,[15],[4],6_[15]_[4],puf4,pumilio family RNA-binding protein Puf4
79,SPBC23G7.12c,0.5630405643738977,3,yellow,A_1_,0.2336823630442305,,,mean,[2],[1],3_[2]_[1],rpt6,19S proteasome base subcomplex ATPase subunit Rpt6
80,SPAC323.01c,0.10703536115300824,4,yellow,H_7_,0.2311995860562704,,,mean,[16],[13],4_[16]_[13],pos5,mitochondrial NADH kinase Pos5
81,SPAC5D6.05,0.5737835141538844,9,red,D_1_,0.22895928842817284,,,mean,[7],[1],9_[7]_[1],med18,mediator complex subunit Med18
82,SPAC29A4.09,0.5183643371878666,4,yellow,H_5_,0.22794493907477092,,,mean,[16],[9],4_[16]_[9],rrp17,rRNA exonuclease Rrp17
83,SPBC16C6.03c,0.3791397128652031,4,yellow,A_8_,0.22255211742358227,,,mean,[2],[15],4_[2]_[15],rsa1,ribosome assembly protein Rsa1
84,SPAPB17E12.05,0.389653443629755,1,red,H_4_,0.22143309859183108,,,mean,[15],[7],1_[15]_[7],rpl3703,60S ribosomal protein L37
85,SPCC825.04c,0.4726450766386354,7,green,H_6_,0.2161204345910914,,,mean,[16],[12],7_[16]_[12],naa40,histone N-acetyltransferase Naa40
86,SPBC29A10.02,0.36572962962962957,9,green,F_1_,0.2137438672219476,,,mean,[12],[2],9_[12]_[2],spo5,meiotic RNA-binding protein 1
87,SPAC31G5.14,0.1229361245303274,7,green,G_10_,0.20985802638861165,,,mean,[14],[20],7_[14]_[20],gcv1,glycine decarboxylase T subunit
88,SPBC12C2.01c,0.45337363270005754,4,green,H_9_,0.20910550449007456,,,mean,[16],[18],4_[16]_[18],,Schizosaccharomyces specific protein
