# Supplementary Dataset S2: Tab delimited file containing the containing the growth traits extracted from the high resolution growth curves
# 
# This data allow replication of the published results and the 
# development of new analysis methods. If you intend to perform
# and/or publish new analyses, do not hesitate to contact us for 
# any question.
#
# The file is tab-delimited.
# First field is the strain id. Note that they were mutilple biological
#  replicate of the growth phenotyping
# 
# next fields are the values of the growth parameter extracted from 
# the high resolution growth curves:
#  - growth efficiency
#  - maximum specific growth rate
#  - lag time
#  - area under the growth curve
#
#
strain	efficiency	muMax	lag_time	area
R1_34	2.042769958	0.40107	6.39	11188.935
R1_34	2.056867395	0.38238	6.26	11244.675
R1_35	2.158191904	0.35462	6.06	10120.533
R1_35	2.320790661	0.35347	5.96	10264.135
R1_36	3.733608782	0.31979	3.02	24284.069
R1_36	3.913921913	0.34177	2.95	25831.779
R1_37	1.67145608	0.32235	9.92	9685.35
R1_37	1.855554181	0.33902	9.93	9824.073
R1_38	1.73086636	0.40103	8.67	10155.158
R1_38	1.596782646	0.38989	9.21	10522.685
R1_39	2.259693648	0.48158	9.24	10172.558
R1_39	2.323940013	0.47571	9.38	10003.537
R1_4	1.32350286	0.29147	6.35	9902.807
R1_4	1.368580576	0.29231	6.57	10225.974
R1_40	1.214778994	0.29072	9.81	10872.027
R1_40	1.148858864	0.28446	9.82	11281.417
R1_41	2.055894946	0.40611	10.37	9699.589
R1_41	1.937799608	0.41488	10.59	9726.286
R1_42	1.38524222	0.33433	7.76	11463.413
R1_42	1.404859002	0.31511	6.95	11558.84
R1_43	3.21212001	0.40377	4.12	11616.975
R1_43	3.077791069	0.36976	3.59	11786.713
R1_44	1.808940337	0.31529	8.51	13695.332
R1_44	1.850450702	0.32761	8.75	13795.153
R1_45	0.927940759	0.27544	8.98	11431.512
R1_45	1.456865867	0.38134	8.82	11536.827
R1_46	2.036009999	0.36291	6.32	12833.294
R1_46	2.039346041	0.37585	6.83	12965.605
R1_47	2.787583621	0.43578	7.65	11033.409
R1_47	2.336648772	0.38717	7.37	11067.167
R1_48	1.597074774	0.39751	10.56	11873.209
R1_48	1.485045169	0.38629	10.45	12231.114
R1_49	1.539709682	0.36539	6.97	12240.177
R1_49	1.520666993	0.36431	7.25	12035.181
R1_5	1.387646204	0.32001	9.75	11325.418
R1_5	1.36488559	0.30209	9.02	11817.432
R1_50	1.202713363	0.21252	7.8	10568.837
R1_50	0.980842403	0.21371	8.9	10438.326
R1_51	3.740914814	0.33654	4.66	24920.093
R1_51	3.73126876	0.32006	4.64	24938.134
R1_52	1.951795351	0.82959	3.75	38084.043
R1_52	1.945676578	0.7671	3.35	36504.193
R1_53	1.757673928	0.41118	1.1	34256.066
R1_53	1.749194384	0.40682	1.62	33214.439
R1_54	0.778657834	0.25999	6.29	40058.068
R1_54	1.135630394	0.32711	6.52	41897.053
R1_55	6.496479231	0.49451	3.12	28868.436
R1_55	5.587602544	0.44228	3	29342.452
R1_56	5.632787811	0.42379	3.03	29997.55
R1_56	5.654439037	0.43246	3.49	29714.466
R1_57	5.199974919	0.52675	3.46	33338.618
R1_57	4.691751133	0.49411	3.27	33762.973
R1_58	1.293367298	0.40809	14.22	31485.157
R1_58	3.511528376	0.50906	12.14	27710.664
R1_59	6.089635964	0.43952	4.07	28554.192
R1_59	5.62748927	0.42419	2.97	28265.12
R1_6	4.646165379	0.39269	3.32	23599.722
R1_6	4.879383923	0.41103	3.46	24460.235
R1_60	6.224129529	0.46458	3.96	29310.558
R1_60	6.06051332	0.45584	4.07	29763.478
R1_7	1.433076896	0.34244	5.84	11205.144
R1_7	1.100393404	0.25117	4.49	11188.445
R1_8	1.692894766	0.32422	6.86	10564.402
R1_8	1.50725788	0.29086	5.95	10708.385
R1_9	1.878006259	0.4176	11.29	11955.486
R1_9	2.022833672	0.42338	10.67	12546.941
