# Supplementary Dataset S13. This tab delmited table contains the results of the aseQTL linkage results of the 4133 antisense traits at 5% FDR.
#
# This tab delmited table is the results of the aseQTL linkage results
# of the 4133 antisense traits at 5% FDR. Each row correspond
# to one linkage between a target antisense trait and its aseQTL. When 
# a trait was linked to more several locus correlated more than 0.8
# we considered that it corresponded to a single QTL, which position
# could not be determined. they were regroup.
# Here each row correpond to a group and the different location 
# of the grouped QTL are separated with coma.
#
# First field is the name of antisense trait (target)
# Next 3 fields are the coordiante of the QTL as a
# genomic interval.  Note that each QTL is considered
# as spanning in between the first non linked variant.
# last field is an indicater of whether the linkage correspong to 
# a cis or a trans linakge 
# 
# if you have questions mail: 
# mathieu.clement-ziza(at)uni-koeln.de
# andreas.beyer(at)uni-koeln.de
# j.bahler(at)ucl.ac.uk
#
target	chromosome	start	end	qtl_type
SPAC16A10.02	chromosome_1	3440649	3456618	cis
SPAC16A10.03c	chromosome_3	2087770	2123837	trans
SPAC16A10.05c	chromosome_3	660926	665506	trans
SPAC16A10.06c	chromosome_1	3315647	3456618	cis
SPAC16A10.08c	chromosome_1	3443342	3557103	cis
SPAC16C9.03	chromosome_3	2078298	2123837	trans
SPAC16C9.06c	chromosome_3	2084276	2123837	trans
SPAC16E8.01	chromosome_2	3867539	3942052	trans
SPAC16E8.04c	chromosome_3	2078298	2119802	trans
SPAC16E8.07c	chromosome_3	2084276	2119802	trans
SPAC16E8.09	chromosome_3	2087770	2123837	trans
SPAC16E8.10c	chromosome_3	2101294	2119802	trans
SPAC16E8.11c	chromosome_3	2087770	2123837	trans
SPAC16E8.13	chromosome_2	119297	129800	trans
SPAC16E8.14c	chromosome_3	2087770	2119802	trans
SPAC16E8.17c	chromosome_3	2084276	2123837	trans
SPAC1751.01c	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans
SPAC1751.04	chromosome_3	2101294	2104480	trans
SPAC1782.01	chromosome_3	2087770	2123837	trans
SPAC1782.05	chromosome_3	2084276	2123837	trans
SPAC1782.06c	chromosome_3	2087770	2123837	trans
SPAC1782.08c	chromosome_3	2101294	2119802	trans
SPAC1782.12c	chromosome_3	2087770	2123837	trans
SPAC1783.01	chromosome_3	2084276	2119802	trans
SPAC1783.02c	chromosome_3	2084276	2119802	trans
SPAC1783.05	chromosome_3	2101294	2123837	trans
SPAC1786.01c	chromosome_3	2084276	2123837	trans
SPAC1786.03	chromosome_3	2087770	2119802	trans
SPAC17A2.01	chromosome_1	3443342	3745990	cis
SPAC17A2.04c	chromosome_3	2102509	2119802	trans
SPAC17A2.06c	chromosome_1	3315647	3326503	cis
SPAC17A2.06c	chromosome_3	2087770	2119802	trans
SPAC17A2.09c	chromosome_1	1077059	1149636	trans
SPAC17A2.12	chromosome_3	2087770	2123837	trans
SPAC17A2.14	chromosome_3	2087770	2119802	trans
SPAC17A5.01	chromosome_3	2087770	2104480	trans
SPAC17A5.04c	chromosome_3	2087770	2123837	trans
SPAC17A5.05c	chromosome_3	2087770	2123837	trans
SPAC17A5.06	chromosome_3	2084276	2123837	trans
SPAC17A5.07c	chromosome_3	2087770	2123837	trans
SPAC17A5.12	chromosome_3	2087770	2119802	trans
SPAC17A5.14	chromosome_3	2084276	2123837	trans
SPAC17C9.02c	chromosome_3	2101294	2123837	trans
SPAC17C9.05c	chromosome_3	2087770	2123837	trans
SPAC17C9.07	chromosome_2	3724190	3759342	trans
SPAC17C9.10	chromosome_3	2087770	2123837	trans
SPAC17C9.11c	chromosome_3	2101294	2104480	trans
SPAC17C9.13c	chromosome_3	2101294	2119802	trans
SPAC17C9.15c	chromosome_3	2101294	2123837	trans
SPAC17D4.02	chromosome_3	2087770	2123837	trans
SPAC17D4.03c	chromosome_3	2087770	2123837	trans
SPAC17D4.04	chromosome_3	2087770	2123837	trans
SPAC17G6.03	chromosome_1	2810876	2813185	cis
SPAC17G6.03	chromosome_3	2087770	2119802	trans
SPAC17G6.10	chromosome_3	2084276	2119802	trans
SPAC17G6.11c	chromosome_3	2101294	2119802	trans
SPAC17G6.12	chromosome_3	2087770	2123837	trans
SPAC17G6.13	chromosome_3	2084276	2123837	trans
SPAC17G8.01c	chromosome_3	2087770	2119802	trans
SPAC17G8.04c	chromosome_3	2101294	2119802	trans
SPAC17G8.06c	chromosome_3	2087770	2123837	trans
SPAC17G8.10c	chromosome_3	2087770	2123837	trans
SPAC17G8.14c	chromosome_1	3919690	3926065	trans
SPAC17G8.15	chromosome_3	2102509	2119802	trans
SPAC17H9.06c	chromosome_1	2937800	3326503	trans
SPAC17H9.06c	chromosome_3	2087770	2119802	trans
SPAC17H9.08	chromosome_3	2084276	2123837	trans
SPAC17H9.11	chromosome_3	2087770	2123837	trans
SPAC17H9.12c	chromosome_3	2101294	2119802	trans
SPAC17H9.16	chromosome_2	4110844	4222004	trans
SPAC17H9.19c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC17H9.19c	chromosome_3	2102509	2119802	trans
SPAC17H9.20	chromosome_3	2087770	2123837	trans
SPAC1805.01c	chromosome_3	2087770	2119802	trans
SPAC1805.06c	chromosome_3	2087770	2119802	trans
SPAC1805.07c	chromosome_1	2545110	2611769	cis
SPAC1805.09c	chromosome_1,chromosome_1	2925637,3554341	2950891,3745734	cis
SPAC1805.10	chromosome_3	2101294	2119802	trans
SPAC1805.16c	chromosome_3	2087770	2123837	trans
SPAC1834.02	chromosome_3	2087770	2123837	trans
SPAC1834.05	chromosome_3	2087770	2119802	trans
SPAC1834.06c	chromosome_3	2087770	2119802	trans
SPAC1834.07	chromosome_3	2087770	2119802	trans
SPAC1834.13	chromosome_3	2087770	2123837	trans
SPAC1851.04c	chromosome_1	3315647	3326503	cis
SPAC1851.04c	chromosome_3	2102509	2119802	trans
SPAC186.07c	chromosome_2	4034700	4079368	trans
SPAC18B11.05	chromosome_3	2101294	2119802	trans
SPAC18B11.06	chromosome_3	2087770	2119802	trans
SPAC18B11.08c	chromosome_1	2545110	2611769	trans
SPAC18B11.08c	chromosome_2	3724190	3735773	trans
SPAC18G6.04c	chromosome_1	2950891	3326503	trans
SPAC18G6.04c	chromosome_3	2087770	2123837	trans
SPAC18G6.05c	chromosome_3	2084276	2123837	trans
SPAC18G6.06	chromosome_3	2087770	2123837	trans
SPAC18G6.10	chromosome_3	2101294	2119802	trans
SPAC18G6.13	chromosome_1	3809960	3920943	trans
SPAC1952.03	chromosome_3	2087770	2123837	trans
SPAC1952.04c	chromosome_1	5390469	5403412	trans
SPAC1952.08c	chromosome_3	2087770	2123837	trans
SPAC1952.10c	chromosome_1	2531296	2539126	trans
SPAC1952.16	chromosome_3	2102509	2123837	trans
SPAC19A8.01c	chromosome_3	2084276	2123837	trans
SPAC19A8.03	chromosome_3	2087770	2101881	trans
SPAC19A8.04	chromosome_3	2078298	2119802	trans
SPAC19A8.05c	chromosome_3	2087770	2123837	trans
SPAC19A8.06	chromosome_1	3723871	3816912	trans
SPAC19A8.10	chromosome_3	2087770	2119802	trans
SPAC19A8.12	chromosome_3	2102509	2119802	trans
SPAC19B12.01	chromosome_3	2087770	2123837	trans
SPAC19B12.03	chromosome_2	3839530	3868726	trans
SPAC19B12.05c	chromosome_3	2087770	2123837	trans
SPAC19B12.06c	chromosome_3	2101294	2119802	trans
SPAC19D5.01	chromosome_3	2087770	2123837	trans
SPAC19D5.03	chromosome_1	3321289	3557103	trans
SPAC19D5.04	chromosome_3	2087770	2119802	trans
SPAC19D5.06c	chromosome_3	2087770	2119802	trans
SPAC19D5.11c	chromosome_1	3315647	3816912	trans
SPAC19G12.03	chromosome_3	2084276	2093353	trans
SPAC19G12.05	chromosome_3	2084276	2119802	trans
SPAC19G12.07c	chromosome_3	2087770	2119802	trans
SPAC19G12.11	chromosome_3	2101294	2119802	trans
SPAC19G12.12	chromosome_1,chromosome_1	2810876,4602196	2955088,4949138	trans
SPAC19G12.14	chromosome_3	2087770	2123837	trans
SPAC19G12.15c	chromosome_2	1365999	1385425	trans
SPAC1A6.01c	chromosome_3	2101294	2119802	trans
SPAC1A6.02	chromosome_1	3917561	3926238	trans
SPAC1A6.03c	chromosome_3	2087770	2123837	trans
SPAC1A6.08c	chromosome_3	2102509	2123837	trans
SPAC1A6.10	chromosome_1	1720785	1750050	trans
SPAC1B2.02c	chromosome_3	2087770	2119802	trans
SPAC1B3.01c	chromosome_3	2087770	2123837	trans
SPAC1B3.05	chromosome_3	2087770	2123837	trans
SPAC1B3.06c	chromosome_1	3745734	3816912	trans
SPAC1B3.10c	chromosome_3	1479235	1529335	trans
SPAC1B3.15c	chromosome_3	2087770	2123837	trans
SPAC1B3.17	chromosome_3	2101294	2119802	trans
SPAC1B9.02c	chromosome_3	2084276	2119802	trans
SPAC1B9.03c	chromosome_1	1830832	1835068	trans
SPAC1B9.03c	chromosome_3	2087770	2123837	trans
SPAC1D4.03c	chromosome_2	2813594	2870926	trans
SPAC1D4.04	chromosome_3	2087770	2123837	trans
SPAC1D4.05c	chromosome_3	2087770	2123837	trans
SPAC1D4.06c	chromosome_3	2102509	2119802	trans
SPAC1D4.10	chromosome_3	2087770	2119802	trans
SPAC1D4.11c	chromosome_1	1110692	1149636	trans
SPAC1D4.11c	chromosome_3	2123265	2125061	trans
SPAC1D4.12	chromosome_3	2101294	2104480	trans
SPAC1D4.14	chromosome_1	3809960	3926065	trans
SPAC1F12.05	chromosome_1	3440649	3557103	cis
SPAC1F12.06c	chromosome_3	2087770	2123837	trans
SPAC1F12.10c	chromosome_2	1951060	2201006	trans
SPAC1F3.01	chromosome_3	2101294	2119802	trans
SPAC1F3.03	chromosome_1,chromosome_1	2810876,4993114	2813185,5020022	trans
SPAC1F3.03	chromosome_3	2087770	2123837	trans
SPAC1F3.04c	chromosome_1	2541698	2547852	trans
SPAC1F3.05	chromosome_3	2087770	2123837	trans
SPAC1F3.06c	chromosome_3	2294089	2308613	trans
SPAC1F3.09	chromosome_3	2101294	2123837	trans
SPAC1F3.10c	chromosome_1	5394093	5426617	trans
SPAC1F3.10c	chromosome_3	2087770	2123837	trans
SPAC1F5.03c	chromosome_1	4281981	4290671	trans
SPAC1F5.03c	chromosome_3	2084276	2119802	trans
SPAC1F5.04c	chromosome_3	2087770	2123837	trans
SPAC1F5.07c	chromosome_3	2102509	2119802	trans
SPAC1F5.09c	chromosome_1	3440649	3557103	trans
SPAC1F5.11c	chromosome_3	2084276	2123837	trans
SPAC1F7.01c	chromosome_1	5426621	5449783	trans
SPAC1F7.01c	chromosome_3	2087770	2119802	trans
SPAC1F7.11c	chromosome_1	615742	640809	trans
SPAC1F7.11c	chromosome_1	760993	763636	trans
SPAC1F8.05	chromosome_1	2925637	2955088	trans
SPAC1F8.08	chromosome_3	2117330	2123837	trans
SPAC20G4.02c	chromosome_3	2101294	2123837	trans
SPAC20G4.08	chromosome_3	2087770	2119802	trans
SPAC20G8.01	chromosome_3	2084276	2119802	trans
SPAC20G8.02	chromosome_3	2084276	2119802	trans
SPAC20G8.03	chromosome_2	852801	903483	trans
SPAC20G8.03	chromosome_2	4221110	4227280	trans
SPAC20G8.04c	chromosome_3	2084276	2123837	trans
SPAC20G8.05c	chromosome_1,chromosome_1	2665053,4602196	2950891,4949138	trans
SPAC20H4.01	chromosome_3	2087770	2119802	trans
SPAC20H4.03c	chromosome_3	2117330	2125061	trans
SPAC20H4.04	chromosome_3	2087770	2123837	trans
SPAC20H4.05c	chromosome_3	2087770	2119802	trans
SPAC20H4.06c	chromosome_3	2087770	2123837	trans
SPAC20H4.08	chromosome_1	3443342	3556754	trans
SPAC20H4.09	chromosome_1	3315647	3556754	trans
SPAC20H4.11c	chromosome_3	2078298	2119802	trans
SPAC21E11.04	chromosome_1	4178023	4185931	cis
SPAC21E11.04	chromosome_3	2084276	2123837	trans
SPAC21E11.05c	chromosome_3	2101294	2119802	trans
SPAC21E11.08	chromosome_1	2937800	3326503	cis
SPAC21E11.08	chromosome_3	2087770	2119802	trans
SPAC222.04c	chromosome_3	2102509	2119802	trans
SPAC222.05c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC222.06	chromosome_3	2087770	2123837	trans
SPAC222.07c	chromosome_3	2087770	2119802	trans
SPAC222.10c	chromosome_3	2087770	2123837	trans
SPAC222.11	chromosome_3	2087770	2123837	trans
SPAC227.02c	chromosome_1	512086	522530	cis
SPAC227.03c	chromosome_1	3315647	3456618	trans
SPAC227.07c	chromosome_3	2084276	2119802	trans
SPAC227.08c	chromosome_1	2950891	3318540	trans
SPAC227.16c	chromosome_3	2101294	2104480	trans
SPAC227.18	chromosome_3	2102509	2119802	trans
SPAC22A12.01c	chromosome_3	2078298	2104480	trans
SPAC22A12.07c	chromosome_1	3030626	3307217	trans
SPAC22A12.08c	chromosome_3	2101294	2119802	trans
SPAC22A12.08c	chromosome_3	2232524	2264486	trans
SPAC22A12.10	chromosome_1	2925637	2950891	trans
SPAC22A12.11	chromosome_3	2087770	2123837	trans
SPAC22A12.14c	chromosome_3	2087770	2119802	trans
SPAC22E12.04	chromosome_3	2087770	2119802	trans
SPAC22E12.05c	chromosome_3	2087770	2119802	trans
SPAC22E12.06c	chromosome_2	4221110	4227280	trans
SPAC22E12.16c	chromosome_1	4141458	4154587	trans
SPAC22E12.16c	chromosome_3	2087770	2119802	trans
SPAC22E12.19	chromosome_3	2087770	2119802	trans
SPAC22F3.03c	chromosome_3	2087770	2119802	trans
SPAC22F3.04	chromosome_3	2102509	2119802	trans
SPAC22F3.06c	chromosome_3	2101294	2119802	trans
SPAC22F3.08c	chromosome_3	631380	635966	trans
SPAC22F3.12c	chromosome_1	326464	365930	trans
SPAC22F3.12c	chromosome_2	1308029	1314587	trans
SPAC22F3.13	chromosome_3	2087770	2119802	trans
SPAC22F8.09	chromosome_3	2084276	2119802	trans
SPAC22F8.10c	chromosome_3	2087770	2119802	trans
SPAC22F8.11	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	cis
SPAC22F8.12c	chromosome_3	2087770	2104480	trans
SPAC22G7.02	chromosome_3	2101294	2119802	trans
SPAC22G7.04	chromosome_3	2101294	2119802	trans
SPAC22G7.05	chromosome_1	844407	855284	cis
SPAC22G7.05	chromosome_1	2531296	2604820	trans
SPAC22G7.07c	chromosome_3	2101294	2123837	trans
SPAC22G7.08	chromosome_3	2087770	2119802	trans
SPAC22H10.03c	chromosome_3	2087770	2123837	trans
SPAC22H10.04	chromosome_3	2087770	2123837	trans
SPAC22H10.05c	chromosome_3	2087770	2123837	trans
SPAC22H10.06c	chromosome_3	2101294	2104480	trans
SPAC22H10.12c	chromosome_3	2117330	2123837	trans
SPAC22H12.02	chromosome_3	2078298	2123837	trans
SPAC22H12.03	chromosome_3	2087770	2123837	trans
SPAC22H12.05c	chromosome_3	2084276	2123837	trans
SPAC23A1.02c	chromosome_3	2102509	2119802	trans
SPAC23A1.04c	chromosome_3	2087770	2123837	trans
SPAC23A1.12c	chromosome_3	2087770	2123837	trans
SPAC23A1.16c	chromosome_3	2078298	2119802	trans
SPAC23A1.19c	chromosome_3	2087770	2123837	trans
SPAC23C11.02c	chromosome_1	2602912	2649924	trans
SPAC23C11.03	chromosome_3	2087770	2101881	trans
SPAC23C11.04c	chromosome_3	2084276	2119802	trans
SPAC23C11.06c	chromosome_1	2531296	2539126	trans
SPAC23C11.12	chromosome_1,chromosome_1	2665053,4602196	3318540,4949138	trans
SPAC23C11.12	chromosome_2	3724190	3735773	trans
SPAC23C11.13c	chromosome_1	2810876	2813185	trans
SPAC23C11.13c	chromosome_3	2084276	2119802	trans
SPAC23C4.13	chromosome_2	2305695	2312083	trans
SPAC23C4.13	chromosome_3	1206829	1268592	trans
SPAC23C4.14	chromosome_3	2087770	2123837	trans
SPAC23C4.17	chromosome_3	2087770	2119802	trans
SPAC23C4.19	chromosome_1	3321289	3442884	trans
SPAC23C4.19	chromosome_3	2087770	2123837	trans
SPAC23D3.03c	chromosome_3	2084276	2119802	trans
SPAC23D3.08	chromosome_3	2101294	2104480	trans
SPAC23D3.09	chromosome_1	3315647	3326503	cis
SPAC23D3.09	chromosome_3	2101294	2119802	trans
SPAC23D3.10c	chromosome_3	2102509	2119802	trans
SPAC23D3.12	chromosome_1	3443342	3556754	trans
SPAC23D3.13c	chromosome_3	2087770	2123837	trans
SPAC23E2.02	chromosome_3	2078298	2119802	trans
SPAC23E2.03c	chromosome_3	2101294	2123837	trans
SPAC23G3.02c	chromosome_1	3315647	3326503	trans
SPAC23G3.02c	chromosome_3	2087770	2119802	trans
SPAC23G3.04	chromosome_2	3930354	3951952	trans
SPAC23G3.07c	chromosome_3	2084276	2123837	trans
SPAC23G3.10c	chromosome_3	2087770	2123837	trans
SPAC23G3.12c	chromosome_3	2084276	2123837	trans
SPAC23H3.05c	chromosome_3	2087770	2119802	trans
SPAC23H3.07c	chromosome_3	2101294	2104480	trans
SPAC23H3.10	chromosome_3	2078298	2123837	trans
SPAC23H3.11c	chromosome_3	2101294	2119802	trans
