FILE NAME,Microbial-Protocol-high-OTR_20220504_135030-cc-parentaltest.csv
PROTOCOL,Microbial-Protocol-high-OTR
FILE_VERSION,3.3
DATE START,4.5.2022,13:52:04
DATE END,4.5.2022,13:52:04
DEVICE,BL045-CX_0CFD20
USER,ben,COMMENT,no comment available
PLATETYPE,MTP-48-Flowerplate,LOT,UNKOWN
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,1

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass,620,620,48MTP,1,30,1,0,100,SET TEMPERATURE [C],32,Phi0,66.16,Biomass Slope,0.044,CRITERION,,
,,,,,,,,,,SET HUMIDITY [%],85,Phi100,38.81,Biomass Offset,5,FI,,
,,,,,,,,,,SET O2 [%],20.95,Phi.min,57.17,Biomass Unit,OD600 [-],FJ,,
,,,,,,,,,,SET CO2 [%],0,Phi.max,18.04,,,FACTOR,0,
,,,,,,,,,,SET SHAKER FREQUENCY [rpm],1000,pH0,6.49,,,S0,NaN,
,,,,,,,,,,SET CYCLE TIME [min],10,dpH,0.53,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],1193,Temp. Compensation for pH Calibration,True,Temp. pH [C],32,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,True,Temp. pO2 [C],32,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268
C07,X23,,1,71.391,73.722,73.48,73.516,77.65,75.33,73.517,76.038,72.426,74.574,71.515,72.677,75.84,74.275,73.578,70.732,72.249,73.859,72.889,69.11,72.187,70.608,67.424,68.822,67.725,67.155,67.528,66.086,65.858,66.64,65.446,67.42,66.791,66.33,65.713,66.655,65.2,64.712,63.908,64.058,62.589,62.72,61.791,62.089,61.636,61.685,61.222,61.207,60.754,60.377,60.429,60.529,60.09,60.454,60.385,59.922,59.741,59.726,59.847,59.627,59.617,59.846,59.687,59.718,59.865,59.506,59.59,59.787,59.764,59.663,59.632,59.917,59.723,59.696,59.612,59.666,59.705,59.573,59.673,59.666,59.64,59.796,59.649,59.526,59.634,59.551,59.604,59.802,59.629,59.664,59.46,59.659,59.506,59.642,60.198,59.65,59.549,59.757,59.543,59.498,59.594,59.695,59.666,59.658,59.625,59.453,59.635,59.549,59.755,59.68,59.763,59.526,59.627,59.636,59.697,59.583,59.681,59.659,59.651,59.674,59.689,59.634,59.548,59.644,59.641,59.681,59.693,59.628,59.681,59.732,59.609,59.672,59.693,59.604,59.521,59.559,59.612,59.595,59.564,59.59,59.801,59.748,59.55,59.643,59.674,59.667,59.614,59.565,59.614,59.586,59.637,59.789,59.81,59.894,59.803,60.15,59.717,59.848,59.605,59.679,59.763,59.937,60.018,60.218,60.243,60.305,60.249,60.201,60.2,60.12,60.669,60.707,60.547,60.648,60.206,60.136,60.744,60.901,60.827,60.917,61.574,61.311,61.251,61.523,61.677,61.595,61.46,61.684,61.397,61.224,61.862,61.108,61.683,62.597,62.382,62.025,61.949,61.806,61.781,61.551,61.277,61.354,61.58,61.291,60.803,60.677,60.969,60.479,60.222,60.017,59.749,59.527,59.4,59.529,59.314,59.302,60.021,59.901,59.977,59.727,60.42,59.937,59.845,59.89,59.415,59.418,59.463,59.352,59.498,59.423,59.415,59.938,59.852,60.187,61.256,60.873,61.362,61.351,61.148,61.284,61.358,60.919,60.666,60.896,60.932,60.517,60.973,60.632,60.566,60.359,60.526,60.814,60.937,60.926,61.298,61.613,61.244,61.609,61.195,60.817,60.901,60.61,60.457,60.432,60.318,60.182,60.251,60.596
C08,X24,,1,38.463,38.332,38.539,38.886,38.6,39.037,39.262,39.17,39.346,39.132,39.552,39.648,39.264,39.479,39.476,39.372,39.313,39.422,39.218,39.488,39.733,39.346,39.272,39.349,39.526,39.264,39.664,39.554,40.087,39.499,39.059,39.659,39.701,39.608,39.762,39.641,39.246,39.654,39.533,39.987,39.779,39.551,39.58,39.618,39.661,39.79,39.516,39.912,39.577,39.46,39.623,39.469,39.691,39.841,39.66,39.582,39.524,39.476,39.608,39.348,39.711,39.444,39.779,39.421,39.59,39.406,39.676,39.656,39.552,39.577,39.923,39.865,39.63,39.507,39.476,39.423,39.79,39.618,39.719,39.878,39.537,39.444,39.376,39.663,39.718,39.613,39.799,40.015,39.761,39.487,39.678,39.831,39.57,39.837,40.027,39.59,39.376,39.721,39.696,39.88,39.658,39.595,39.802,40,39.83,39.774,39.769,39.552,39.9,39.824,39.741,39.915,39.55,39.917,40.007,39.68,39.858,39.567,39.474,39.854,39.927,39.53,39.552,39.658,39.836,39.871,39.896,39.535,39.821,39.746,39.416,39.97,39.711,39.938,39.756,39.693,39.603,39.759,39.992,39.689,40.163,40.064,39.691,39.724,39.884,40.363,39.882,40.249,39.896,39.847,39.847,39.885,39.801,40.456,40.154,40.142,39.756,40.151,40.035,40.128,40.273,40.303,39.901,39.856,40.282,40.259,39.986,39.816,40.369,40.192,40.36,39.936,40.467,40.291,39.949,39.556,40.359,40.174,39.925,39.97,39.656,40.412,40.19,40.181,40.204,39.927,40.409,40.114,40.357,40.276,40.401,40.554,40.394,40.62,40.298,40.53,40.001,40.34,40.28,40.012,40.502,40.392,40.018,40.095,40.417,40.439,40.195,40.429,40.093,40.31,40.377,40.296,40.093,40.128,40.354,40.352,40.262,39.955,40.27,40.695,40.721,40.046,40.475,40.115,40.224,40.209,40.615,40.464,40.632,40.67,39.975,40.294,40.14,40.004,40.29,40.561,40.31,40.813,40.276,40.395,40.482,40.178,40.177,40.171,40.788,40.454,40.498,40.744,40.822,40.68,40.987,40.211,40.62,40.294,40.293,40.131,40.529,40.355,40.514,39.79,40.845,40.149,40.351,41.148,40.465,40.437,40.649,40.608
D01,X25,,1,52.808,53.784,54.922,56.47,58.162,59.705,61.291,62.919,64.851,66.768,69.696,71.884,74.73,76.578,78.673,81.317,82.335,83.702,83.624,84.884,84.864,85.944,86.508,87.611,88.635,89.348,90.025,91.112,92.944,94.154,96.035,97.58,99.181,100.48,101.78,103.29,103.52,104.841,107.215,108.693,109.348,112.508,114.457,116.26,119.084,121.44,124.587,127.757,129.117,132.762,134.796,136.373,138.64,142.011,144.754,145.795,147.61,151.454,153.895,155.472,157.393,157.725,159.758,162.348,162.21,163.91,164.178,163.883,166.328,167.601,165.441,169.328,169.496,169.649,168.289,172.626,172.641,176.878,178.628,183.232,185.452,185.348,189.588,192.285,194.943,190.921,195.043,190.261,192.399,189.123,190.635,186.609,179.071,181.813,180.721,178.672,177.928,177.485,177.762,179.805,182.288,178.872,184.889,183.304,184.976,186.865,186.893,187.907,190.232,191.478,191.918,194.815,196.628,196.038,199.081,198.276,198.953,200.547,203.286,200.727,196.605,202.275,202.263,202.419,202.134,203.087,199.678,202.391,202.767,205.383,205.18,201.086,201.835,202.1,205.143,203.744,204.384,208.802,204.12,209.655,209.892,207.429,210.495,210.899,208.39,210.284,208.33,210.055,209.706,210.233,209.813,209.312,211,211.375,213.551,214.707,214.751,215.123,217.057,219.255,217.951,220.011,221.668,222.504,222.049,223.754,223.731,226.974,224.505,227.256,227.712,229.207,229.563,231.911,230.144,232.646,233.038,235.24,235.509,235.509,236.101,238.17,238.711,239.857,239.765,240.512,240.974,242.237,242.683,242.571,243.835,244.305,245.528,247.028,246.693,246.321,246.611,246.154,246.581,247.961,248.239,248.81,249.946,251.701,251.255,250.364,251.061,251.404,253.301,253.744,254.421,252.909,252.482,255.672,254.944,254.899,254.374,256.415,255.647,257.022,258.068,257.823,258.298,259.21,258.769,258.871,257.901,260.517,259.746,261.618,260.951,262.01,261.192,262.588,261.914,263.001,263.527,264.636,263.795,263.384,265.026,263.05,265.262,264.284,264.648,266.214,266.676,266.917,266.66,267.267,266.379,267.694,267.149,266.959,268.436,268.425,268.765,268.488,269.282,269.255,269.137,269.96,269.218,269.37,270.382,271.564,270.635,271.427
D02,X26,,1,47.215,47.096,46.889,47.145,47.152,47.218,47.239,47.286,47.801,47.731,47.995,48.355,48.175,48.298,48.512,48.41,48.598,48.603,48.856,49.162,48.56,48.981,49.186,49.147,49.532,49.917,49.834,49.899,50.602,50.621,50.557,51.042,51.099,51.36,51.463,51.819,52.023,52.491,52.6,53.559,54.136,54.043,54.489,54.984,55.444,55.846,56.744,57.476,58.193,59.146,60.898,62.044,63.404,65.157,67.196,69.316,71.439,72.906,75.488,77.32,78.842,80.185,81.662,82.624,83.851,84.404,84.649,85.065,86.01,86.363,86.882,87.743,89.137,89.095,89.944,90.766,91.943,93.393,94.078,95.08,96.352,98.647,100.373,102.059,103.957,106.469,108.399,111.073,113.518,114.38,119.134,121.015,122.51,125.877,130.526,130.263,132.042,133.624,135.499,137.065,141.495,147.395,154.114,151.101,163.27,164.166,172.733,175.647,190.597,194.676,200.241,209.669,216.378,221.103,225.925,229.498,233.906,236.614,235.415,233.216,228.989,222.555,219.354,218.036,216.916,216.419,217.121,215.128,214.924,214.54,215.094,215.132,213.655,214.563,214.036,216.606,216.067,216.13,214.348,219.472,217.638,216.782,218.238,217.856,218.094,218.677,218.482,217.953,219.03,219.37,217.968,219.302,217.754,217.871,216.896,221.09,220.672,220.605,219.542,219.255,220.805,221.443,225.269,221.06,221.177,222.792,221.763,222.08,222.692,222.959,224.603,224.881,224.495,227.483,225.844,224.196,227.141,225.863,224.246,228.382,226.697,225.793,227.424,227.073,229.448,228.766,226.38,227.373,229.679,227.136,231.611,229.338,229.853,228.373,229.891,230.828,230.273,229.079,231.894,231.383,232.617,232.342,234.583,232.929,235.322,233.497,233.893,234.373,238.106,236.187,236.719,237.549,239.105,239.858,237.787,239.686,236.526,240.348,241.556,239.702,239.401,238.046,237.494,235.123,235.366,234.876,235.156,235.287,236.786,238.972,236.1,238.457,239.082,240.298,240.258,241.559,243.542,246.747,246.954,249.915,250.824,252.277,252.811,252.719,255.134,257.551,255.46,255.175,258.617,257.654,256.377,260.788,259.906,261.902,263.81,262.571,263.688,263.966,263.384,264.434,266.252,264.063,266.677,266.892,268.333,269.325,270.357,271.566
D03,X27,,1,50.205,50.797,51.382,52.347,53.296,54.034,54.47,55.641,56.295,57.527,58.846,59.503,60.682,62.229,64.048,65.738,67.346,70.197,72.379,74.572,76.805,78.693,79.877,81.519,82.562,83.867,83.694,85.001,86.656,87.131,87.592,88.585,89.136,91.071,92.088,93.579,96.085,98.91,100.848,104.941,106.556,108.533,111.437,112.74,115.253,116.566,119.082,121.983,123.677,125.095,127.143,129.807,131.672,133.308,134.115,135.316,136.467,137.971,138.368,138.789,142.067,143.031,144.273,146.237,147.351,148.001,149.511,150.795,154.388,154.598,152.844,155.813,159.292,160.464,161.42,159.16,161.535,162.34,161.976,169.931,164.327,169.028,169.605,176.538,178.16,180.102,180.359,185.424,187.765,192.174,188.926,192.858,189.505,191.255,195.676,188.904,186.793,185.855,182.809,184.304,182.049,178.026,179.224,181.392,177.673,180.116,181.176,185.123,181.582,182.564,183.544,187.276,189.126,190.844,189.362,190.571,191.915,194.687,193.693,195.499,201.294,196.051,198.641,198,197.461,197.712,201.093,197.912,198.841,199.786,202.459,201.111,203.891,205.682,201.641,201.855,202.062,204.039,204.132,204.6,204.567,201.363,202.74,202.942,203.797,205.35,203.496,204.982,206.993,204.677,204.397,205.016,206.37,206.331,209.082,207.543,210.007,208.451,210.295,210.377,209.684,213.109,210.824,213.249,214.425,214.045,214.674,218.063,217.355,218.675,221.135,220.876,221.762,224.159,223.315,225.491,225.538,225.402,226.521,228.293,230.673,227.956,229.903,230.577,233.014,234.05,233.91,233.009,236.056,236.769,235.815,238.579,238.168,240.634,238.16,241.077,241.443,242.089,241.215,240.815,242.429,243.937,244.255,243.756,246.028,245.776,244.761,246.919,248.43,248.638,250.157,248.531,248.006,249.483,251.2,248.972,251.758,249.754,252.348,250.578,251.556,252.81,253.053,253.063,252.802,253.521,254.505,255.192,255.89,256.167,256.648,258.114,258.128,258.914,256.51,258.509,258.911,257.719,258.106,260.906,260.628,260.577,261.989,261.791,261.614,261.719,261.081,264.591,263.066,263.908,264.62,263.933,264.416,264.45,264.948,266.377,266.081,264.473,265.283,264.776,267.429,266.948,265.374,266.424,265.311,267.681,267.115,267.665
D04,X28,,1,52.478,51.754,51.793,51.664,52.006,52.09,52.345,52.426,52.306,52.452,53,52.973,53.097,53.233,53.429,53.81,53.857,53.995,54.224,54.356,54.764,55.028,55.304,55.278,55.695,56.078,56.575,56.577,57.676,57.774,58.059,58.502,59.248,60.113,60.963,62.301,63.004,65.033,67.361,69.897,70.927,73.672,75.808,78.892,80.882,82.322,85.008,85.738,87.321,88.148,88.85,89.467,90.419,91.09,92.126,92.039,92.64,93.66,93.403,94.924,95.783,95.95,97.639,98.975,99.669,102.081,103.716,105.651,108.284,111.182,113.363,116.693,119.762,121.021,125.056,127.148,129.5,132.237,137.492,140.889,146.886,149.281,152.127,158.941,161.188,162.771,168.141,169.544,168.814,169.524,164.82,178.16,198.554,189.44,201.107,196.537,206.412,209.176,217.961,223.767,228.163,232.077,235.4,237.114,235.54,232.428,226.498,224.36,221.091,217.163,219.621,216.453,216.138,218.99,217.036,216.422,219.529,219.81,215.829,220.032,218.24,219.035,218.436,216.266,219.546,218.737,221.078,222.922,221.448,221.156,221.229,219.503,220.025,222.977,219.78,222.237,221.075,220.425,226.347,221.689,222.468,223.14,223.27,222.899,222.725,223.523,222.96,223.472,222.801,225.244,227.347,225.225,225.882,223.565,229.217,230.467,226.043,228.532,225.625,229.787,227.933,230.378,229.561,229.176,227.366,231.539,229.984,229.704,229.675,230.588,232.31,234.74,230.795,234.299,233.43,233.825,233.731,234.408,233.067,236.465,236.127,238.157,234.44,235.401,238.077,238.915,240.266,238.757,239.967,239.004,241.727,242.12,243.054,239.035,240.076,243.598,243.548,239.145,242.714,243.605,237.921,239.608,238.918,239.06,237.529,237.907,237.625,238.214,239.7,239.676,240.68,242.825,245.085,248.536,248.704,249.035,253.267,253.406,252.965,257.098,256.455,259.297,257.543,258.192,260.561,261.452,263.315,263.079,268.036,267.282,265.971,266.497,266.026,264.38,271.958,271.607,268.082,271.93,270.049,271.005,272.668,272.266,273.488,270.273,275.377,275.091,273.263,275.805,274.679,279.41,275.891,274.737,276.885,277.831,277.625,278.237,278.679,280.673,279.268,280.021,280.88,279.5,280.435,280.258,279.36,282.581,282.02,281.826
D05,X29,,1,47.295,47.522,47.665,47.324,47.906,47.944,48.394,48.812,48.67,49.04,50.115,50.343,50.964,51.689,52.25,52.758,53.247,54.11,54.887,55.25,56.171,57.207,57.856,59.177,59.013,60.519,61.519,62.74,64.119,65.055,64.543,66.981,67.513,69.342,70.63,71.344,72.597,74.494,75.28,76.273,78.329,80.879,80.892,85.413,85.082,87.222,88.75,91.03,93.458,94.139,96.238,100.389,103.334,104.785,110.42,109.517,112.907,116.8,119,118.308,121.959,124.557,128.296,130.933,133.401,133.81,136.438,139.414,144.762,145.647,144.673,147.787,153.406,151.141,154.729,159.768,159.022,162.15,166.113,166.226,169.17,172.292,173.156,175.456,174.939,176.059,178.711,178.589,176.562,177.823,175.943,175.809,175.698,173.039,176.212,173.827,177.11,178.039,179.474,179.566,179.88,180.45,181.563,182.089,181.749,180.293,183.233,182.048,183.282,182.098,184.816,183.373,184.846,185.084,184.899,186.254,185.304,184.698,184.98,185.909,187.377,186.156,187.386,186.601,186.788,189.467,188.082,189.543,190.874,191.107,189.472,190.996,191.44,190.557,191.513,194.07,193.395,193.073,194.22,193.896,194.209,195.043,195.795,194.262,195.133,195.635,194.896,196.639,196.37,197.248,197.044,197.593,198.089,200.599,198.817,201.94,198.985,201.01,200.805,200.947,201.02,202.512,202.534,204.136,202.407,203.938,205.333,204.091,205.781,205.642,206.35,207.936,206.327,209.27,207.371,208.219,208.487,208.812,209.787,210.048,210.017,209.97,210.291,211.381,210.602,212.179,211.507,213.418,212.991,213.975,214.128,215.289,214.09,214.54,215.218,215.057,216.204,216.094,216.603,216.042,217.525,217.316,217.99,217.851,219.299,220.127,219.546,219.592,219.356,219.261,221.434,220.318,221.113,222.554,222.608,222.662,222.124,224.57,223.801,224.232,224.047,223.37,224.024,224.463,224.022,224.489,224.893,223.23,224.954,223.56,225.443,224.117,223.224,223.687,225.299,223.995,223.418,224.401,223.004,222.888,223.061,221.529,220.358,220.441,219.76,219.445,217.923,217.322,217.732,217,215.478,215.257,215.079,214.698,214.266,214.31,214.245,214.479,213.606,214.068,214.323,214.133,214.148,213.668,214.666,214.405,215.007,213.402
D06,X30,,1,51.966,52.862,53.487,55.02,56.629,57.306,57.986,58.955,60.724,62.462,64.026,66.071,67.914,70.201,72.894,74.206,77.064,79.798,83.713,86.875,91.248,92.145,94.627,98.064,100.999,106.239,112.072,114.672,119.437,123.576,129.332,134.039,139.139,145.919,149.575,158.218,165.471,170.978,180.98,187.706,194.478,202.192,213.113,219.874,225.735,236.915,240.003,241.834,246.467,247.475,246.607,248.592,248.048,250.393,249.458,245.981,247.834,252.234,253.842,254.964,257.428,261.223,262.186,260.403,261.854,262.317,261.471,261.454,260.926,262.763,263.256,265.123,266.336,266.767,268.111,268.738,273.075,274.013,273.262,277.238,279.42,279.609,281.235,284.979,284.52,286.722,287.324,287.188,290.532,289.04,289.547,288.815,287.875,289.877,292.718,288.648,287.921,286.214,285.912,287.789,285.046,288.503,286.708,286.962,286.862,285.903,285.414,284.841,284.17,286.248,283.715,284.274,284.652,287.58,285.144,286.521,286.926,290.161,288.249,290.351,290.827,291.066,290.171,291.313,290.473,290.359,291.866,292.421,293.964,295.063,293.246,292.478,294.389,295.335,295.098,294.808,295.36,293.551,293.22,296.683,294.896,295.452,297.329,295.898,296.252,294.902,296.606,296.364,297.459,299.74,296.796,295.386,296.669,296.631,297.357,300.377,298.419,296.449,297.243,300.024,299.137,298.15,297.37,298.496,299.844,298.744,297.45,299.035,298.775,298.956,300.417,298.425,299.207,301.775,298.746,299.013,297.731,299.921,300.068,301.564,299.383,299.213,296.962,298.155,298.218,298.064,297.682,298.5,298.17,296.862,296.523,298.406,298.193,295.678,297.391,298.261,297.025,300.095,296.169,298.048,295.964,299.278,297.368,298.155,296.137,296.316,297.493,296.368,297.721,297.594,298.759,297.24,296.747,296.293,297.353,296.711,297.641,295.539,297.05,295.653,298.713,297.441,296.27,299.074,297.978,297.351,294.895,298.783,298.043,295.907,298.132,297,298.155,297.652,297.878,297.765,295.808,296.661,297.716,297.817,298.634,296.598,299.107,298.491,297.689,299.925,298.844,299.162,298.709,299.303,297.239,298.195,298.436,299.56,298.972,299.238,301.115,302.231,299.215,301.884,299.923,300.885,301.122,301.831,301.793,300.238,300.736,302.383
D07,X31,,1,56.672,58.927,60.026,64.262,60.96,60.689,61.341,58.092,57.565,60.221,57.88,57.716,61.604,56.839,58.498,59.045,60.208,64.474,62.562,57.381,56.683,59.41,54.739,54.598,57.488,52.176,53.416,55.342,53.862,53.495,51.73,52.952,52.259,50.819,50.407,49.738,51.035,51.22,49.391,49.833,48.591,49.059,48.385,47.307,47.781,48.231,47.166,46.994,47.566,46.784,46.402,46.451,46.041,46.167,46.031,45.585,45.96,46.129,46,45.872,45.539,45.568,45.739,45.586,45.347,45.529,45.416,45.612,45.433,45.561,45.547,45.317,45.465,45.596,45.471,45.313,45.502,45.187,45.299,45.492,45.527,45.493,45.332,45.214,45.657,45.356,45.423,45.53,45.513,45.2,45.133,45.414,45.233,45.283,45.597,45.305,45.294,45.12,44.957,45.436,45.433,45.352,45.264,45.203,45.374,45.272,45.449,45.373,45.301,45.49,45.231,45.541,45.176,45.274,45.313,45.189,45.178,45.076,45.062,45.183,45.257,45.238,45.325,45.307,45.034,45.447,45.205,45.24,45.14,45.217,45.16,45.311,45.425,45.236,45.324,45.387,45.204,45.129,45.163,45.301,45.196,45.356,45.217,45.363,45.161,45.234,45.213,45.297,45.462,45.327,45.276,45.045,45.576,44.965,45.44,45.797,45.203,45.325,45.12,45.599,45.469,45.301,45.266,45.199,45.189,45.261,45.235,45.263,45.243,45.325,45.113,45.469,45.292,45.502,45.456,45.262,45.218,45.452,45.46,45.299,45.288,45.283,45.465,45.399,45.61,45.426,45.299,45.384,45.362,45.374,45.22,45.426,45.493,45.277,45.303,45.346,45.308,45.423,45.507,45.352,45.326,45.506,45.368,45.337,45.276,45.356,45.521,45.255,45.445,45.43,45.489,45.521,45.441,45.509,45.397,45.448,45.28,45.294,45.596,45.352,45.469,45.513,45.205,45.534,45.577,45.71,45.39,45.412,45.493,45.518,45.448,45.258,45.602,45.407,45.406,45.429,45.404,45.533,45.299,45.35,45.522,45.614,45.895,45.822,45.464,45.828,45.655,45.622,45.472,45.461,45.511,45.481,45.57,45.628,45.702,45.441,45.543,45.523,45.564,45.508,45.476,45.603,45.536,45.422,45.46,45.471,45.435,45.535
D08,X32,,1,49.636,50.025,50.017,50.381,50.656,50.626,50.854,50.576,50.557,50.665,50.679,50.809,51.305,51.575,51.363,51.249,51.139,50.816,51.036,51.791,51.285,51.287,51.097,51.264,51.39,51.265,51.554,51.572,52.148,51.665,50.918,51.494,51.46,51.605,51.746,51.639,51.638,51.528,51.676,52.15,51.754,51.986,51.074,52.061,51.27,51.366,51.745,52.184,51.738,51.48,51.622,51.476,51.245,51.474,51.496,51.738,51.765,51.646,51.281,51.412,51.569,51.693,51.963,51.712,51.432,51.198,51.384,52.187,51.973,52.164,51.398,51.992,52.146,51.648,51.707,51.407,51.708,51.568,51.714,51.991,51.556,51.252,51.855,51.596,51.607,51.641,51.702,51.548,51.453,51.955,51.97,52.103,52.344,52.053,52.822,51.992,51.855,51.778,52.093,52.367,51.814,52.145,52.256,51.684,51.55,52.16,52.554,52.064,52.238,51.987,52.409,52.15,52.376,52.292,52.216,51.401,52.141,52.518,52.331,52.221,51.845,51.575,51.902,51.546,51.661,51.912,51.779,51.783,52.015,52.261,51.799,52.013,52.086,52.338,51.711,52.378,51.714,51.913,52.395,52.496,52.765,51.918,52.212,52.446,52.24,52.164,52.235,52.635,52.226,52.119,52.539,52.176,52.534,52.723,52.615,52.781,52.262,52.689,52.394,52.197,52.162,52.523,52.585,52.114,52.671,53.328,51.938,52.539,52.754,52.697,52.358,52.363,52.117,52.818,52.132,53.161,52.256,52.6,52.121,52.311,52.628,52.75,52.341,52.534,52.032,52.408,53.107,52.318,52.883,52.633,52.449,52.846,52.376,52.464,52.727,52.532,52.494,52.834,52.485,52.65,52.967,52.987,52.263,52.457,53.204,52.541,52.733,52.646,52.049,53.052,52.549,52.416,52.952,52.708,52.62,52.809,52.865,53.038,53.265,52.301,53.153,52.492,52.487,52.901,52.784,53.04,53.372,52.684,52.891,53.281,53.036,52.9,53.21,53.242,52.691,53.295,52.467,52.726,52.458,52.38,55.64,54.83,54.798,55.22,54.852,54.805,55.277,55.163,54.885,55.099,55.336,55.229,54.803,55.074,55.244,55.493,55.166,55.517,54.993,55.516,55.409,54.941,55.728,55.197,55.096,54.996,54.97,55.327
E01,X33,,1,44.192,46.335,49.524,48.199,47.189,47.759,47.835,47.374,47.046,47.63,48.471,48.217,47.657,47.513,47.447,47.561,47.442,47.459,47.619,47.477,47.421,47.482,47.39,47.467,47.149,47.414,47.176,47.042,47.599,47.051,47.167,47.39,47.592,47.254,47.55,47.567,47.516,47.716,47.863,48.271,48.206,48.778,48.461,48.693,48.809,48.815,49.234,49.506,49.773,50.236,50.444,50.592,50.855,51.575,51.521,52.041,52.245,52.984,53.505,53.772,54.155,54.755,55.592,56.112,57.062,57.259,58.085,58.927,59.423,60.521,61.107,62.075,63.386,64.8,65.886,67.191,68.919,70.444,72.289,74.484,76.425,79.064,81.207,83.417,86.004,88.684,91.06,93.51,96.338,98.46,100.558,101.188,102.6,102.845,104.558,104.274,104.226,104.336,103.078,102.024,101.295,100.566,99.089,99.089,99.342,100.011,100.931,102.578,105.396,107.574,111.038,113.966,116.61,120.09,123.92,126.859,129.863,133.749,136.679,139.281,142.686,145.118,148.047,149.442,150.686,151.864,154.648,154.849,155.632,159.399,160.965,164.756,161.455,159.286,158.193,158.559,160.719,153.377,156.605,156.969,158.268,161.793,163.505,166.88,166.527,171.549,175.788,175.313,178.906,184.951,182.989,190.895,190.126,194.994,198.128,204.716,204.598,206.735,204.378,210.364,205.397,210.514,203.096,201.873,202.254,202.386,201.139,201.683,201.177,204.265,207.21,206.575,205.211,210.04,209.733,212.181,210.064,212.694,213.482,220.006,214.617,216.164,220.154,215.634,221.643,222.316,221.818,226.491,222.285,225.667,224.532,227.355,225.871,226.989,229.487,231.269,230.525,228.161,234.124,230.891,233.299,233.025,231.186,232.371,229.537,232.001,236.702,233.287,233.842,236.971,231.418,238.005,236.677,238.633,237.232,236.478,239.041,238.031,242.979,241.276,240.497,243.45,242.375,246.149,246.999,244.925,246.886,248.373,250.251,246.721,248.481,251.327,250.369,250.866,256.196,255.561,258.02,255.396,258.056,263.371,261.595,265.812,265.237,264.998,268.747,269.704,269.65,265.785,270.494,268.979,271.681,274.36,273.056,274.514,278.863,272.37,276.97,276.785,273.826,278.63,284.207,279.867,281.332,281.712,282.18,280.304,283.387,285.917
