Probe_Set_ID	Gene_Symbol	Gene_name_1	Gene_name_2	Description	S_cerev_homol	log2_ratio_cdk8mut	log2_ratio_Æmed12	log2_ratio_Æmed15	log2_ratio_med17Æ50	log2_ratio_Æmed18	log2_ratio_Æmed20
1773417_at	SPAC1006.07	SPAC1006.07		translation initiation factor eIF4A	YDR021W|YJL138C|YKR059W	-0.122222222	0.088888889	0	0	0.088888889	0.044444444
1776182_at	SPAC1006.08	etd1		ethanol-hypersensitive mutant protein	NONE	0	-0.122222222	-0.533333333	-0.275	-0.1	0
1773266_at	SPAC1006.09	win1	"SPAC1250.06c,SPAPJ730.01"	MAP kinase kinase kinase Win1	YCR073C|YNR031C	-0.1	-0.533333333	0.255555556	0.2	0.055555556	0
1775850_at	SPAC1039.01	SPAC1039.01		amino acid permease family	YDL210W|YGL077C|YKL174C	-2.122222222	-1.7	-2.577777778	-3.625	-3.088888889	-2.333333333
1777339_at	SPAC1039.02	SPAC1039.02		calcineurin-like phosphoesterase	YHR202W	-0.688888889	-0.922222222	-2.133333333	-2.125	-1.244444444	-0.633333333
1771114_at	SPAC1039.03	SPAC1039.03		esterase/lipase	NONE	0	-0.366666667	0	0.375	0.088888889	-0.144444444
1778431_at	SPAC1039.04	SPAC1039.04		nicotinic acid plasma membrane transporter	YGR260W	-0.288888889	0	0	0	0	0
1780096_at	SPAC1039.05c	SPAC1039.05c		conserved fungal protein	YPR022C	-0.1	-0.466666667	-0.233333333	-0.875	-1.033333333	-0.633333333
1771709_at	SPAC1039.06	SPAC1039.06		alanine racemase	YGL196W	0	-0.6	-0.477777778	-1.125	-0.966666667	-0.644444444
1769393_at	SPAC1039.07c	SPAC1039.07c		"2,2-dialkylglycine decarboxylase"	NONE	-0.555555556	-1.055555556	0.066666667	-1.175	-1.144444444	-0.944444444
1769372_at	SPAC1039.08	SPAC1039.08		serine acetyltransferase	NONE	-0.722222222	-1.288888889	-0.044444444	-0.2	-1.044444444	-0.855555556
1772012_at	SPAC1039.09	isp5		amino acid permease family	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W	-1.177777778	-1.766666667	-4.044444444	-3.825	-3.988888889	-2.311111111
1776103_at	SPAC1039.10	mmf2	"hpm1,SPAC922.01"	homologous Pmf1p factor 1	YER057C|YIL051C	0.022222222	-0.066666667	-2.711111111	-2.25	-2.522222222	-1.711111111
1772668_at	SPAC1039.11c	SPAC1039.11c	SPAC922.02c	alpha-glucosidase	NONE	0.1	0	0.377777778	-0.225	0.055555556	-0.044444444
1770486_at	SPAC105.01c	SPAC105.01c		potassium ion/proton antiporter	YJL094C	0	0	0.366666667	0.7	-0.044444444	-0.077777778
1774573_at	SPAC105.02c	SPAC105.02c		ankyrin repeat protein	YGL242C	-0.155555556	0	0.144444444	0.05	0.277777778	0.366666667
1771111_at	SPAC105.03c	SPAC105.03c		transcription factor	YIR023W	0	0	0	0.075	0.155555556	0
1772600_at	SPAC1071.01c	pta1	SPAC4H3.15c	mRNA cleavage and polyadenylation specificity factor complex subunit Pta1	YAL043C	-0.666666667	0	0.044444444	0	0.355555556	0.088888889
1775111_at	SPAC1071.02	SPAC1071.02		TFIIH regulator	YIL128W	0	0	-0.1	0	0	-0.277777778
1773405_at	SPAC1071.03c	SPAC1071.03c		sequence orphan	NONE	0	0	0	-0.55	-0.088888889	0
1771412_at	SPAC1071.04c	SPAC1071.04c		signal peptidase subunit	YML055W	-0.555555556	0.988888889	-0.155555556	-0.375	-0.622222222	0.577777778
1775224_at	SPAC1071.05	SPAC1071.05		S-adenosylmethionine-dependent methyltransferase	YIL110W	-1.155555556	0.222222222	-0.4	-0.275	-0.388888889	0.1
1779028_at	SPAC1071.06	SPAC1071.06		actin-like protein	YMR033W	0	0	-0.166666667	0	0	0
1770930_at	SPAC1071.07c	rps1502	"rps15-2,rps15"	40S ribosomal protein S15	YOL040C	0	0	0	-0.075	0	0
1771335_at	SPAC1071.08	rpp203	"rpp2-3,rla6"	60S acidic ribosomal protein (P2C subunit)	YDR382W|YOL039W	0	0	0	-0.2	0	0
1769439_at	SPAC1071.09c	SPAC1071.09c		DNAJ domain protein	NONE	0	-0.177777778	-0.066666667	0.125	-0.044444444	-0.144444444
1774298_at	SPAC1071.10c	pma1		P-type proton ATPase	YGL008C	0	0.055555556	0	-0.075	0.088888889	0
1773416_at	SPAC1071.11	SPAC1071.11		NADH-dependent oxidoreductase	NONE	0.088888889	0	0.122222222	0.4	0.066666667	0
1769588_at	SPAC1071.12c	stp1	SPAC926.01c	low molecular weight phosphotyrosine protein phosphatase	YPR073C	-0.066666667	-0.511111111	-0.055555556	0.3	0.2	0
1777529_at	SPAC1093.01	SPAC1093.01	SPAC12B10.18	PPR domains	NONE	0	0	0.588888889	0.275	0.466666667	0.311111111
1772107_at	SPAC1093.02	SPAC1093.02		pyridoxamine 5'-phosphate oxidase	YBR035C	0	0	0	0.075	0.411111111	0.133333333
1779788_at	SPAC1093.03	SPAC1093.03		polyphosphoinositide phosphatase	YNL325C	0	0	0	0	0	-0.044444444
1776916_at	SPAC1093.04c	SPAC1093.04c		tRNA nucleotidyltransferase	YER168C	0	-0.133333333	0	0.3	0	-0.033333333
1777870_at	SPAC1093.05	SPAC1093.05		ATP-dependent RNA helicase	YJL033W	0	-0.066666667	-0.388888889	0.825	0	-0.066666667
1778572_at	SPAC1093.06c	dhc1	SPAC30C2.01c	dynein heavy chain	YKR054C	0	0	0	0	0	-0.111111111
1777583_at	SPAC10F6.01c	SPAC10F6.01c	SPAC4C5.05c	sulfite reductase beta subunit	YJR137C	0	0	0	-0.05	0	0
1771030_at	SPAC10F6.02c	prp22		ATP-dependent RNA helicase Prp22	YER013W	-0.2	-0.6	-0.077777778	0.55	0.1	0
1772332_at	SPAC10F6.03c	SPAC10F6.03c		CTP synthase	YBL039C|YJR103W	0	0	0	0.075	0.111111111	0
1777500_at	SPAC10F6.04	SPAC10F6.04		regulator of condensation (RCC1) domains	YAL020C	0	0	0.666666667	0.7	0.733333333	0.1
1772878_at	SPAC10F6.05c	ubc6		ubiquitin conjugating enzyme	YER100W	-0.177777778	0	0.188888889	0	0.244444444	0.477777778
1772886_at	SPAC10F6.06	vip1		rrm RNA recognition motif	NONE	0	0	0.155555556	0.075	0.244444444	0.122222222
1775903_at	SPAC10F6.07c	SPAC10F6.07c		sequence orphan	NONE	0.255555556	0.055555556	0.577777778	1.125	0.622222222	0.255555556
1777681_at	SPAC10F6.08c	SPAC10F6.08c		HMG box	NONE	-0.2	0	0	0	-0.255555556	0.066666667
1770738_at	SPAC10F6.09c	psm3	smc3	mitotic cohesin complex subunit Psm3	YJL074C	-0.044444444	-0.133333333	-0.188888889	0.2	0.011111111	0
1769814_at	SPAC10F6.10	SPAC10F6.10		protein kinase (RIO family)	YOR119C	0.344444444	0.066666667	0	1.125	0.444444444	0.044444444
1769772_at	SPAC10F6.11c	SPAC10F6.11c		kinase activator	YLR423C	0	0	1.555555556	0.675	0.733333333	0.477777778
1769364_at	SPAC10F6.12c	mam4		protein-S isoprenylcysteine O-methyltransferase Mam4	YDR410C	0.022222222	0	-0.688888889	-0.225	-0.4	-0.444444444
1770914_at	SPAC10F6.13c	SPAC10F6.13c		aspartate aminotransferase	YLR027C	0	0	0	0	0	0
1779537_at	SPAC10F6.14c	SPAC10F6.14c		chaperone	NONE	0	0	0.055555556	0.175	0.122222222	0
1776798_at	SPAC10F6.15	SPAC10F6.15		UPF0300 family	NONE	0.2	0	0.822222222	0	0	-1.055555556
1779630_at	SPAC10F6.16	SPAC10F6.16		conserved eukaryotic protein	YHR132W-A|YNL157W	0.366666667	0.377777778	0	-0.225	0	0
1778586_at	SPAC10F6.17c	SPAC10F6.17c	SPAC56E4.01c	protein phosphatase type 2C	YOR090C	0	-0.111111111	0.333333333	0.3	0.311111111	0.022222222
1776439_at	SPAC110.01	ppk1	SPAC140.05	serine/threonine protein kinase	YOR233W|YPL141C	-0.722222222	-0.666666667	-1.444444444	-0.725	-0.688888889	-0.2
1772213_at	SPAC110.02	pds5		cohesin-associated protein	YMR076C	0	0	0	0	0	0
1780057_at	SPAC110.03	cdc42		Rho family GTPase Cdc42	YLR229C	0	0	0	0	0	0
1773213_at	SPAC110.04c	pss1	"ssp1,SPAP14E8.01c"	heat shock protein 70 family	YBR169C|YPL106C	0	0	0	0	0.1	0
1773406_at	SPAC1142.01	SPAC1142.01	SPAC17G6.18	conserved eukaryotic protein	YDR333C	0	0	0	0.15	0.4	0.033333333
1771280_at	SPAC1142.02c	SPAC1142.02c	SPAC17G6.19c	conserved protein	YOR007C	-0.111111111	0	0.244444444	0	0	0
1770906_at	SPAC1142.03c	swi2	SPAC17G6.20c	Swi5-complex	NONE	0.077777778	0	0.044444444	0.425	0	0.055555556
1776586_at	SPAC1142.04	SPAC1142.04		Noc2p-Noc3p complex subunit	YOR206W	0	0	-0.422222222	0.8	0	0
1769625_at	SPAC1142.05	ctr5		copper transporter complex subunit Ctr5	YLR411W	0	0	-0.288888889	1.225	0.144444444	0
1775335_at	SPAC1142.06	SPAC1142.06		ATPase	YDL100C	0	0	-0.166666667	0	0	0
1777969_at	SPAC1142.07c	vps32	snf7	SNF7 family class E vps	YLR025W	0	-0.788888889	0.377777778	0.5	0.322222222	0
1772704_at	SPAC1142.08	fhl1	SPAC8C9.01	fork head transcription factor Fhl1	YPR104C	0.044444444	0	0	0.3	0.2	0.033333333
1769678_at	SPAC1142.09	SPAC1142.09	SPAC8C9.02	dubious	NONE	0	0	0.288888889	0.375	0	0
1778379_at	SPAC11D3.01c	SPAC11D3.01c		conserved fungal protein	NONE	0.344444444	0	3	2.75	1.711111111	0.655555556
1770038_at	SPAC11D3.02c	SPAC11D3.02c		ELLA family protein	NONE	0.522222222	0.144444444	-0.055555556	-0.025	0.011111111	0.077777778
1771869_at	SPAC11D3.03c	SPAC11D3.03c		conserved eukaryotic protein	NONE	-0.744444444	-1.377777778	-1.666666667	-2.325	-2.066666667	-1.488888889
1776823_at	SPAC11D3.04c	SPAC11D3.04c		SnoaL	NONE	-0.333333333	-0.677777778	-1.177777778	0.75	0.122222222	-0.477777778
1779878_at	SPAC11D3.05	SPAC11D3.05		MFS family membrane transporter	NONE	0	0	0	0.325	-0.422222222	-0.144444444
1774841_at	SPAC11D3.06	SPAC11D3.06		MatE family transporter	YDR338C|YHR032W	0.855555556	0.666666667	0.855555556	-0.125	0	-0.122222222
1774781_at	SPAC11D3.07c	SPAC11D3.07c		transcription factor	YJL206C	-1.088888889	-1.055555556	-0.666666667	-1.125	-0.855555556	-0.655555556
1771121_at	SPAC11D3.08c	SPAC11D3.08c		amino acid permease family	YDL210W|YGL077C|YKL174C	0.333333333	0	0.744444444	0	-0.166666667	-0.455555556
1774047_at	SPAC11D3.09	SPAC11D3.09		agmatinase	NONE	0.666666667	0	0.433333333	0.1	-0.522222222	-0.822222222
1777202_at	SPAC11D3.10	SPAC11D3.10		nifs homolog	NONE	0	0	0.222222222	0	-0.077777778	-0.444444444
1779802_at	SPAC11D3.11c	SPAC11D3.11c				0.455555556	0	1.1	1.45	0.555555556	-0.044444444
1772155_at	SPAC11D3.13	SPAC11D3.13		ThiJ domain	YDR533C|YMR322C|YOR391C|YPL280W	1.644444444	1.6	1.866666667	1.4	2.066666667	1.088888889
1775491_at	SPAC11D3.14c	SPAC11D3.14c		oxoprolinase	YKL215C	-0.922222222	-0.822222222	-2.666666667	-2.65	-3.044444444	-1.333333333
1777734_at	SPAC11D3.15	SPAC11D3.15		oxoprolinase	YKL215C	-0.155555556	0	-0.488888889	-0.975	-1.244444444	-1.044444444
1770119_at	SPAC11D3.16c	SPAC11D3.16c		sequence orphan	NONE	-0.122222222	0	0.744444444	0.25	0	0.088888889
1774216_at	SPAC11D3.17	SPAC11D3.17		zinc finger protein	NONE	-0.833333333	-1.288888889	-1.8	-2.05	-2.1	-0.777777778
1770045_at	SPAC11D3.18c	SPAC11D3.18c		nicotinic acid plasma membrane transporter	YGR260W	-0.888888889	-0.811111111	-3.488888889	-3.3	-2.655555556	-1.322222222
1779370_at	SPAC11E3.01c	SPAC11E3.01c	SPAC2H10.03c	SNF2 family	YDR334W	-0.133333333	-0.277777778	0	0.15	0.044444444	0
1770432_at	SPAC11E3.02c	SPAC11E3.02c		C2 domain	YOR296W	0	-0.644444444	0.211111111	0	0	0
1780145_at	SPAC11E3.03	pcs1		chromosome segregation protein Pcs1	YCR086W	0	-0.233333333	0	0.4	0.344444444	-0.077777778
1774552_at	SPAC11E3.04c	ubc13	spu13	ubiquitin conjugating enzyme	YBR082C|YDR059C|YDR092W|YGR133W	0	0	0	0.2	0.133333333	0
1772984_at	SPAC11E3.05	SPAC11E3.05		WD repeat protein	YDR128W	0	0	0.444444444	0.65	0.422222222	0
1779822_at	SPAC11E3.06	map1		MADS-box transcription factor Map1	YMR042W|YMR043W	0	0	0.411111111	-0.5	0	-0.677777778
1780028_at	SPAC11E3.07	vma4		V-type ATPase	YOR332W	0	-0.166666667	-0.066666667	0.05	0.166666667	0
1773579_at	SPAC11E3.08c	nse6		Smc5-6 complex non-SMC subunit Nse6	NONE	0	0	0.044444444	0.5	0.066666667	-0.1
1776756_at	SPAC11E3.09	pyp3		protein-tyrosine phosphatase Pyp3	YDL230W	0	0	0.655555556	0.45	0.044444444	0
1776444_at	SPAC11E3.10	SPAC11E3.10		VanZ-like family protein	NONE	0.144444444	0	0.4	0.175	0	0
1778948_at	SPAC11E3.11c	SPAC11E3.11c		guanyl-nucleotide exchange factor activity	YBL060W	0	0	0.066666667	0.15	0.155555556	0
1772593_at	SPAC11E3.12	SPAC11E3.12		conserved eukaryotic protein	NONE	0.044444444	0	0.488888889	0.075	0.066666667	0.033333333
1773744_at	SPAC11E3.13c	SPAC11E3.13c		GPI anchored protein	YLR343W|YMR215W|YMR307W|YOL030W|YOL132W	0.088888889	0	0.566666667	0.875	0.266666667	0.088888889
1770046_at	SPAC11E3.14	SPAC11E3.14		conserved fungal protein	YJL082W|YKR018C	0	0	0.755555556	0.525	0.055555556	0
1770613_at	SPAC11E3.15	rpl22	SPAP8A3.01	60S ribosomal protein L22	YFL034C-A|YLR061W	0	0.011111111	0	-0.125	0	0
1772714_at	SPAC11G7.01	SPAC11G7.01		glycoprotein	NONE	-2.811111111	0.444444444	-0.144444444	0.025	-0.744444444	0.588888889
1770786_at	SPAC11G7.02	pub1		ubiquitin-protein ligase (E3)	YER125W	0	-0.111111111	0.222222222	0	0.033333333	0
1777912_at	SPAC11G7.03	idh1	glu3	isocitrate dehydrogenase (NAD+) subunit 1 Idh1	YNL037C	-0.222222222	0	0.477777778	0.075	0.2	0
1774567_at	SPAC11G7.04	ubi1		ribosomal-ubiquitin fusion protein	YIL148W|YKR094C	0	0	0	-0.05	0.044444444	0
1775716_at	SPAC11G7.05c	SPAC11G7.05c		[acyl-carrier protein] S-malonyltransferase	YOR221C	0	-0.077777778	0.677777778	0.525	0	-0.033333333
1771480_at	SPAC11G7.06c	SPAC11G7.06c		UPF0300 family	NONE	0.111111111	0.077777778	0	0.375	0	-0.188888889
1776830_at	SPAC11H11.01	SPAC11H11.01		Class E Vps	YCL008C	-0.066666667	-0.822222222	0.8	0.775	0.455555556	-0.022222222
1778115_at	SPAC11H11.02c	SPAC11H11.02c		sequence orphan	NONE	0	0	0	0.15	-0.166666667	-0.155555556
1778575_at	SPAC11H11.03c	SPAC11H11.03c		SMR domain protein	YPL199C	0	-0.055555556	-0.044444444	-0.025	-0.544444444	-0.4
1771297_at	SPAC11H11.04	mam2		pheromone p-factor receptor	YFL026W	0	0	0.622222222	0	0	-0.8
1779851_at	SPAC11H11.05c	fta6	sma6	Sim4 and Mal2 associated (4 and 2 associated) protein 6	NONE	-0.144444444	0	0.111111111	1.4	0.4	0.044444444
1771798_at	SPAC11H11.06	arp2	SPAC22F8.01	ARP2/3 actin-organizing complex subunit Arp2	YDL029W	-0.311111111	0	0.022222222	0	0.177777778	0.166666667
1770557_at	SPAC1250.01	snf21	SPAC29A4.21	bromodomain protein	YIL126W|YOR290C	-0.1	0	0.388888889	0.375	0.211111111	0.033333333
1778734_at	SPAC1250.02	SPAC1250.02		sequence orphan	NONE	0	0	2.855555556	0.975	0	0
1774408_at	SPAC1250.03	ubc14		ubiquitin conjugating enzyme	YBR082C|YDR059C|YDR092W|YGR133W	-0.266666667	0	0.177777778	0	0.3	0.188888889
1774233_at	SPAC1250.04c	atl1		alkyltransferase-like protein Atl1	YDL200C	0	0	-0.788888889	0.125	-0.522222222	-0.411111111
1778771_at	SPAC1250.05	rpl3002	"rpl30-2,rpl30"	60S ribosomal protein L30	YGL030W	0	0	0	0.4	0.044444444	0
1777147_at	SPAC1296.01c	SPAC1296.01c	SPAC22F3.01	phosphoacetylglucosamine mutase	YEL058W	0	0	0.066666667	0	0.166666667	0
1775671_at	SPAC1296.02	cox4		cytochrome c oxidase subunit IV	YGL187C	0.055555556	0	-0.044444444	-0.075	-0.166666667	-0.133333333
1772488_at	SPAC1296.03c	sxa2		serine carboxypeptidase	NONE	1.788888889	1.533333333	0.288888889	0.15	0	0
1778311_at	SPAC1296.04	SPAC1296.04		spore wall assembly protein	YER046W	0	0	-0.666666667	-0.475	-0.055555556	-0.077777778
1769348_at	SPAC1296.05c	SPAC1296.05c		cyclin	NONE	0	0	0.122222222	0	0	-0.122222222
1770152_at	SPAC1296.06	SPAC1296.06		NADPH cytochrome reductase	YPR048W	0.066666667	-0.066666667	0	0	-0.044444444	-0.077777778
1774830_at	SPAC12B10.01c	SPAC12B10.01c	"SPAC31F12.02c,SPAC637.15c"	ubiquitin-protein ligase (E3)	YKL010C	0	0	0.644444444	0.225	0.377777778	0.033333333
1774620_at	SPAC12B10.02c	SPAC12B10.02c		sequence orphan	NONE	0	0	0	0.2	0.177777778	0
1776510_at	SPAC12B10.03	SPAC12B10.03		WD repeat protein	NONE	0	0	0.088888889	0	0.288888889	0
1776361_at	SPAC12B10.04	SPAC12B10.04		tubulin-tyrosine ligase	YBR094W	-0.2	0.055555556	-0.777777778	0.275	0.1	0
1772614_at	SPAC12B10.05	SPAC12B10.05		metallopeptidase	YER078C	0	0	0.166666667	0.475	0.4	0
1772200_at	SPAC12B10.06c	SPAC12B10.06c		conserved protein	YOL071W	0	-0.255555556	-0.122222222	0	0.044444444	-0.044444444
1779292_at	SPAC12B10.07	acp1		F-actin capping protein alpha subunit	YKL007W	0	-0.433333333	0	0	0.288888889	0
1779301_at	SPAC12B10.08c	SPAC12B10.08c		tRNA(Ile)-lysidine synthetase family	NONE	0	-0.188888889	0.088888889	0.725	0.3	-0.044444444
1770266_at	SPAC12B10.09	SPAC12B10.09		mitochondrial carrier	YNL003C	-0.055555556	-0.288888889	-0.444444444	0	0	-0.066666667
1773895_at	SPAC12B10.10	SPAC12B10.10		sequence orphan	NONE	-0.6	0.977777778	-0.611111111	0	-0.222222222	0.777777778
1777530_at	SPAC12B10.11	exg2		"glucan 1,3-beta-glucosidase"	YDR261C|YLR300W|YOR190W	0	0	0.066666667	0.35	0.055555556	0
1779989_at	SPAC12B10.12c	rhp41	rhp4a	DNA repair protein Rhp41	YDR314C|YER162C	0	-0.055555556	0.477777778	1.05	0.8	0.2
1771356_at	SPAC12B10.13	SPAC12B10.13		CTLH domain	YMR135C	0	-0.155555556	1	-0.425	0.366666667	0
1774836_at	SPAC12B10.14c	ppk2		serine/threonine protein kinase	YHL007C	0	-0.277777778	-0.155555556	0.3	0.066666667	0
1774915_at	SPAC12B10.15c	SPAC12B10.15c		RNase H1 small subunit	NONE	0.422222222	0.688888889	0	0	-0.077777778	-0.055555556
1777698_at	SPAC12B10.16c	SPAC12B10.16c		conserved protein	NONE	0	-0.055555556	0.233333333	0.1	0.255555556	0
1777704_at	SPAC12D12.09	rev7		DNA polymerase zeta Rev7	YIL139C	0	0	1.033333333	0.875	0.644444444	0.033333333
1770959_at	SPAC12G12.01c	SPAC12G12.01c	SPAC630.02	WD repeat protein	YBL104C	0	-0.044444444	0	0.35	0	0
1769561_at	SPAC12G12.02	SPAC12G12.02	SPAC630.01c	rRNA processing protein	YGR272C	-0.077777778	-0.344444444	-0.788888889	1.025	0.133333333	-0.077777778
1770208_at	SPAC12G12.03	cip2		RNA-binding protein Cip2	YBL051C	-0.944444444	0.288888889	0.088888889	-0.25	0.033333333	0.566666667
1775469_at	SPAC12G12.04	mcp60	hsp60	heat shock protein 60	YLR259C	0	0.022222222	0	-0.5	-0.033333333	0
1769595_at	SPAC12G12.05c	taf9		transcription initiation factor Taf9	YMR236W	0	-0.066666667	-0.055555556	0	0	0
1774647_at	SPAC12G12.06c	SPAC12G12.06c		RNA 3'-terminal phosphate cyclase	YOL010W	0	0	0	-0.1	-0.244444444	0
1778839_at	SPAC12G12.07c	SPAC12G12.07c		sequence orphan	NONE	-0.044444444	0	0	0.125	0.322222222	0
1769661_at	SPAC12G12.08	mrpl6		mitochondrial ribosomal protein subunit L16	YHR147C	0	0	0	0	0.022222222	0
1771950_at	SPAC12G12.09	SPAC12G12.09		sequence orphan	NONE	-1.077777778	0.322222222	-0.233333333	-0.9	-1.033333333	0.033333333
1773474_at	SPAC12G12.10	SPAC12G12.10		WD repeat protein	NONE	0.122222222	0	0.244444444	0.2	0.1	-0.044444444
1777338_at	SPAC12G12.11c	SPAC12G12.11c		conserved eukaryotic protein	YGL082W|YPL191C	0	-0.644444444	0.166666667	0.45	0.211111111	0
1771640_at	SPAC12G12.12	SPAC12G12.12		NST UDP-galactose transporter	NONE	0	-0.655555556	0	0	0	0
1771765_at	SPAC12G12.13c	cid14		poly(A) polymerase Cid14	YNL299W|YOL115W	0	0	0	0.775	0.288888889	0
1775679_at	SPAC12G12.14c	pfs2		WD repeat protein	YNL317W	-0.633333333	-0.066666667	0.122222222	0.175	0.211111111	0.444444444
1777755_at	SPAC12G12.15	sif3		Sad1-interacting factor 3	YFR048W	0	-0.266666667	-0.077777778	0	0.022222222	-0.033333333
1769842_at	SPAC12G12.16c	SPAC12G12.16c	SPAC18B11.01c	XP-G family	NONE	0	0	0.533333333	0.8	0.6	0.244444444
1770735_at	SPAC1327.01c	SPAC1327.01c	"SPAC1783.09c,SPAC18G6.16c"	transcription factor	NONE	-0.222222222	-0.055555556	0	0.175	0	0
1772042_at	SPAC139.01c	SPAC139.01c	SPAC955.02c	XP-G family	YNL085W	0	0	-0.311111111	0	0.033333333	0
1776462_at	SPAC139.02c	oac1		anion transporter	YKL120W	0.033333333	0	0.022222222	-0.1	0	0
1769594_at	SPAC139.03	SPAC139.03		transcription factor	NONE	0.322222222	0.022222222	0.322222222	0	-0.177777778	0
1775896_at	SPAC139.04c	fap2		L-saccharopine oxidase	NONE	0.033333333	0	0.288888889	-0.4	-0.5	-0.166666667
1778976_at	SPAC139.05	SPAC139.05		succinate-semialdehyde dehydrogenase	YBR006W	0.788888889	1.066666667	2.222222222	-2.625	1.533333333	0.255555556
1769843_at	SPAC139.06	SPAC139.06	SPAC23C4.01	histone acetyltransferase complex subunit	YPL001W	0	0	-0.277777778	-0.225	0	0
1776804_at	SPAC1399.01c	SPAC1399.01c		purine permease	NONE	-0.444444444	0	-0.355555556	-1.25	-1.577777778	-1.055555556
1774726_at	SPAC1399.02	SPAC1399.02		membrane transporter	YBR293W|YCL069W|YGR224W|YPR198W|YPR198W	-0.855555556	-0.444444444	-0.177777778	-0.075	-0.566666667	0.022222222
1780170_at	SPAC1399.03	fur4		uracil permease	YBL042C|YBR021W|YIR028W	-0.455555556	-0.111111111	-0.288888889	-0.775	-0.677777778	-0.444444444
1774202_at	SPAC1399.04c	SPAC1399.04c		uracil phosphoribosyltransferase	YHR128W	-0.444444444	-0.166666667	-0.388888889	-2.825	-0.933333333	-0.722222222
1774884_at	SPAC1399.05c	SPAC1399.05c		transcription factor	NONE	-2.066666667	0	-0.688888889	-1.65	-1.2	-0.344444444
