# Supplementary Dataset S11. This tab delmited table contains the results of the eQTL linkage results of the 6464 sense traits at 5% FDR.
#
# This tab delmited table is the results of the eQTL linkage results
# of the 6464 sense traits at 5% FDR. Each row correspond
# to one linkage between a expression trait (gene)its eQTL. When 
# a trait was linked to more several locus correlated more than 0.8
# we considered that it corresponded to a single QTL, which position
# could not be determined. they were regroup.
# Here each row correpond to a group and the different location 
# of the grouped QTL are separated with coma. 
#
# First field is the name of sense trait (target)
# Next 3 fields are the coordinate of the QTL as a
#  genomic interval. Note that each QTL is considered
#  as spanning in between the first non linked variant.
# next field is an indicater of whether the linkage correspong to 
#  a cis or a trans linakge.
# Next field indicate the strongest candiate regulator as this locus
#  predicted unsing correlation between the trait and the regulator
#  candidate. "NA" correspond to missing values.
# Next indicate wether the putative 
#  regulator is a coding or non-coding genes
#  "NA" correspond to missing values.
# 
# if you have questions mail: 
# mathieu.clement-ziza(at)uni-koeln.de
# andreas.beyer(at)uni-koeln.de
# j.bahler(at)ucl.ac.uk
#
target	chromosome	start	end	qtl_type	putative_regulator	regulator_type
SPAC15A10.04c	chromosome_1	2893934	2905076	trans	SPACUNK4.07c	coding
SPAC15A10.10	chromosome_1	2810876	2813185	cis	SPAC15A10.10	NA
SPAC15A10.15	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC15E1.02c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC15E1.10	chromosome_1	4115061	4135582	cis	SPAC15E1.10	NA
SPAC15F9.02	chromosome_3	2102509	2123837	trans	SPCC576.14	coding
SPAC16.01	chromosome_3	676403	707776	trans	SPCC16C4.15	coding
SPAC1610.04	chromosome_1	3809960	3926065	trans	SPAC4H3.01	coding
SPAC1639.02c	chromosome_2	3775865	3799228	trans	SPNCRNA.1639	non_coding
SPAC167.03c	chromosome_3	2117330	2125061	trans	SPCC126.02c	coding
SPAC167.06c	chromosome_3	2102509	2119802	trans	SPCC576.16c	coding
SPAC1687.04	chromosome_1	2423311	2452268	trans	SPAC32A11.02c	coding
SPAC1687.09	chromosome_1	2950891	3556754	trans	SPAC26A3.10	coding
SPAC1687.11	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC1687.13c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC1687.16c	chromosome_1,chromosome_1	2665053,4602196	3318540,4949138	trans	SPAPB8E5.03	coding
SPAC1687.16c	chromosome_1	314269	326464	trans	SPAC12G12.12	coding
SPAC1687.17c	chromosome_1	844407	855284	cis	SPAC1687.17c	NA
SPAC1687.18c	chromosome_1	3315647	3456618	trans	SPAC3H5.04	coding
SPAC1687.20c	chromosome_3	2117330	2123837	trans	SPCC126.02c	coding
SPAC16A10.05c	chromosome_1	3315647	3326503	cis	SPAC16A10.05c	NA
SPAC16C9.03	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC16C9.06c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC16C9.07	chromosome_3	2087770	2123837	trans	SPCC126.02c	coding
SPAC16E8.05c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC16E8.06c	chromosome_1	512086	522530	trans	SPNCRNA.658	non_coding
SPAC16E8.09	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC1705.02	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC1782.10c	chromosome_1	2893934	2905076	cis	SPAC1782.10c	NA
SPAC1783.04c	chromosome_3	2084276	2123837	trans	SPCC576.13	coding
SPAC1783.05	chromosome_3	2117330	2123837	trans	SPCC126.02c	coding
SPAC1786.01c	chromosome_1	3315647	3326503	cis	SPAC1786.01c	NA
SPAC1786.02	chromosome_3	2101294	2104480	trans	SPCC576.14	coding
SPAC17A2.04c	chromosome_2	2813594	2870926	trans	SPBC19C7.07c	coding
SPAC17A2.08c	chromosome_3	2102509	2125061	trans	SPCC126.02c	coding
SPAC17A2.12	chromosome_3	2101294	2119802	trans	SPNCRNA.1263	non_coding
SPAC17A2.13c	chromosome_1	5201900	5222186	trans	SPAC19D5.10c	coding
SPAC17A2.14	chromosome_3	2084276	2119802	trans	SPCC576.13	coding
SPAC17A5.11	chromosome_1	2925637	3557103	trans	SPAC31G5.08	coding
SPAC17C9.16c	chromosome_1	2925637	2950891	cis	SPAC17C9.16c	NA
SPAC17D4.01	chromosome_1,chromosome_1	2665053,4602196	3318540,4949138	cis	SPAC17D4.01	NA
SPAC17D4.02	chromosome_3	2102509	2119802	trans	SPCC576.14	coding
SPAC17D4.03c	chromosome_1	3440649	3557103	cis	SPAC17D4.03c	NA
SPAC17G6.02c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC17G6.03	chromosome_2	3839530	3868726	trans	SPBC23E6.03c	coding
SPAC17G6.03	chromosome_3	2117330	2125061	trans	SPCC126.02c	coding
SPAC17G6.09	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC17G6.10	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC17G6.11c	chromosome_3	657594	677595	trans	SPCC16C4.07	coding
SPAC17G6.12	chromosome_1	3554341	3745734	cis	SPAC17G6.12	NA
SPAC17G6.16c	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC17G8.02	chromosome_3	657594	707776	trans	SPCC16C4.06c	coding
SPAC17G8.02	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC17G8.06c	chromosome_3	2087770	2119802	trans	SPCC576.07	coding
SPAC17G8.10c	chromosome_1	3315647	3556754	trans	SPAC1B1.02c	coding
SPAC17G8.12	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC17H9.04c	chromosome_3	2087770	2123837	trans	SPCC126.02c	coding
SPAC17H9.06c	chromosome_3	2078298	2104480	trans	SPCC576.14	coding
SPAC1805.01c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC1805.03c	chromosome_1,chromosome_1	2665053,4602196	2811385,4949138	cis	SPAC1805.03c	NA
SPAC1805.05	chromosome_3	655654	677595	trans	SPCC16C4.06c	coding
SPAC1805.10	chromosome_1	3315647	3456618	cis	SPAC1805.10	NA
SPAC1805.16c	chromosome_3	2084276	2119802	trans	SPCC126.02c	coding
SPAC1834.02	chromosome_3	2101294	2119802	trans	SPCC576.14	coding
SPAC1834.07	chromosome_1,chromosome_1	2810876,3315647	2813185,3326503	cis	SPAC1834.07	NA
SPAC1834.09	chromosome_3	676403	709290	trans	SPCC16C4.12	coding
SPAC1834.11c	chromosome_1	4463093	4611044	cis	SPAC1834.11c	NA
SPAC186.09	chromosome_2	4288821	4362796	trans	SPBC16A3.02c	coding
SPAC18B11.05	chromosome_3	660926	665506	trans	SPCC16C4.03	coding
SPAC18B11.06	chromosome_1	2893934	2905076	trans	SPACUNK4.06c	coding
SPAC18G6.02c	chromosome_2	1437183	1455201	trans	SPBP22H7.04	coding
SPAC18G6.06	chromosome_1	2893934	2905076	trans	SPACUNK4.09	coding
SPAC18G6.12c	chromosome_1	3321289	3557103	trans	SPAC1B1.02c	coding
SPAC18G6.12c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC18G6.15	chromosome_3	2078298	2104480	trans	SPCC576.14	coding
SPAC1952.13	chromosome_1	2525721	2528993	trans	SPAC25H1.02	coding
SPAC19A8.03	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC19A8.04	chromosome_1,chromosome_1	2665053,4602196	3556754,4949138	trans	SPNCRNA.74	non_coding
SPAC19A8.12	chromosome_3	2087770	2119802	trans	SPCC576.05	coding
SPAC19B12.01	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC19B12.10	chromosome_2	3798692	3858377	trans	SPBC21C3.02c	coding
SPAC19D5.07	chromosome_1	5203011	5270397	cis	SPAC19D5.07	NA
SPAC19G12.02c	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPAC17D4.01	coding
SPAC19G12.03	chromosome_3	2087770	2119802	trans	SPNCRNA.1264	non_coding
SPAC19G12.09	chromosome_1,chromosome_1	2665053,4288609	2926804,4949138	trans	SPAC4F10.20	coding
SPAC19G12.13c	chromosome_1	3315647	3326503	trans	SPAPB1E7.11c	coding
SPAC19G12.14	chromosome_3	2084276	2123837	trans	SPCC126.04c	coding
SPAC19G12.15c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPAC513.05	coding
SPAC1A6.06c	chromosome_3	2078298	2104480	trans	SPCC576.13	coding
SPAC1A6.08c	chromosome_3	2084276	2119802	trans	SPNCRNA.1264	non_coding
SPAC1B1.01	chromosome_2	3759342	3759840	trans	NA	NA
SPAC1B1.02c	chromosome_1	3440649	3745734	cis	SPAC1B1.02c	NA
SPAC1B1.03c	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC1B1.04c	chromosome_3	2087770	2123837	trans	SPCC126.02c	coding
SPAC1B3.04c	chromosome_3	2102509	2119802	trans	SPCC576.14	coding
SPAC1B3.06c	chromosome_3	2311049	2354383	trans	SPCC965.13	coding
SPAC1B3.07c	chromosome_2	1740747	1897778	trans	SPBC11G11.01	coding
SPAC1B3.08	chromosome_1	3315647	3456618	cis	SPAC1B3.08	NA
SPAC1B3.11c	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC1B3.16c	chromosome_1	3315647	3456618	cis	SPAC1B3.16c	NA
SPAC1B3.21	chromosome_2	730179	767643	trans	SPBC119.17	coding
SPAC1B9.03c	chromosome_1	460756	535185	trans	SPAPB21F2.03	coding
SPAC1D4.07c	chromosome_3	1206829	1266271	trans	SPCC645.10	coding
SPAC1D4.08	chromosome_3	657594	677595	trans	SPCC16C4.06c	coding
SPAC1D4.13	chromosome_1	2665053	3326503	trans	SPAC31G5.09c	coding
SPAC1F12.05	chromosome_2	3759608	3858377	trans	SPBC21C3.03	coding
SPAC1F12.06c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC1F12.08	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC1F12.09	chromosome_1	3315647	3557103	cis	SPAC1F12.09	NA
SPAC1F3.07c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC1F5.05c	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC1F5.11c	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC1F7.03	chromosome_1	3315647	3556754	cis	SPAC1F7.03	NA
SPAC1F7.04	chromosome_3	676403	707776	trans	SPCC16C4.14c	coding
SPAC1F7.11c	chromosome_3	2087770	2101881	trans	SPCC576.13	coding
SPAC1F7.14c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC1F8.01	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPAC20G4.03c	coding
SPAC1F8.02c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPNCRNA.54	non_coding
SPAC1F8.02c	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC1F8.03c	chromosome_2	3798692	3829500	trans	SPNCRNA.1643	non_coding
SPAC1F8.04c	chromosome_1	2937800	3318540	trans	SPNCRNA.873	non_coding
SPAC1F8.04c	chromosome_2	3759342	3762067	trans	SPBC31F10.05	coding
SPAC1F8.05	chromosome_1	2925637	3318540	trans	SPNCRNA.900	non_coding
SPAC1F8.06	chromosome_2	2505327	2528629	trans	SPNCRNA.1524	non_coding
SPAC20G4.02c	chromosome_1	5403412	5448529	trans	SPNCRNA.28	non_coding
SPAC20G4.03c	chromosome_1	2893934	2905076	cis	SPAC20G4.03c	NA
SPAC20G4.03c	chromosome_2	3827447	3868726	trans	SPBC23E6.01c	coding
SPAC20G4.08	chromosome_1	3554341	3745990	cis	SPAC20G4.08	NA
SPAC20G8.01	chromosome_3	2222419	2234660	trans	SPCC1919.10c	coding
SPAC20G8.02	chromosome_1	2893934	2905076	trans	SPACUNK4.06c	coding
SPAC20G8.03	chromosome_1	3440649	3557103	trans	SPAC3A11.07	coding
SPAC20G8.09c	chromosome_1	521845	535185	trans	SPAC2F7.02c	coding
SPAC20G8.09c	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC20H4.06c	chromosome_3	2101294	2123837	trans	SPCC126.02c	coding
SPAC212.04c	chromosome_1	1	71120	trans	SPAC212.04c	coding
SPAC21E11.07	chromosome_3	2084276	2119802	trans	SPCC576.13	coding
SPAC222.05c	chromosome_2	1365999	1392672	trans	SPBC8D2.10c	coding
SPAC222.12c	chromosome_3	2084276	2093353	trans	SPCC576.05	coding
SPAC222.13c	chromosome_1,chromosome_1	3315647,4323910	3556754,4364759	trans	SPAC1B1.02c	coding
SPAC222.17	chromosome_1	3440649	3556754	trans	SPNCRNA.909	non_coding
SPAC227.02c	chromosome_1	5376094	5394093	trans	SPAC3G6.04	coding
SPAC227.03c	chromosome_1	4281981	4290671	trans	SPAC2C4.13	coding
SPAC227.03c	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC227.04	chromosome_3	2101294	2119802	trans	SPNCRNA.1264	non_coding
SPAC227.08c	chromosome_3	2131422	2138108	trans	SPCC126.09	coding
SPAC227.14	chromosome_1	4962262	4967077	trans	SPNCRNA.1039	non_coding
SPAC227.15	chromosome_1	3315647	3557103	trans	SPAC3A11.06	coding
SPAC22A12.01c	chromosome_3	2084276	2104480	trans	SPCC576.05	coding
SPAC22A12.06c	chromosome_1,chromosome_1	2665053,4602196	2950891,4949138	trans	SPAC4F10.20	coding
SPAC22A12.08c	chromosome_3	2084276	2123837	trans	SPCC576.13	coding
SPAC22A12.09c	chromosome_3	2087770	2119802	trans	SPCC126.02c	coding
SPAC22E12.01	chromosome_3	2101294	2104480	trans	SPCC576.14	coding
SPAC22E12.11c	chromosome_3	2087770	2123837	trans	SPNCRNA.1263	non_coding
SPAC22E12.16c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC22F3.02	chromosome_3	2078298	2123837	trans	SPCC576.14	coding
SPAC22F3.04	chromosome_3	2101294	2123837	trans	SPCC126.02c	coding
SPAC22F3.08c	chromosome_1	512086	584187	trans	SPAC227.15	coding
SPAC22F3.09c	chromosome_1	5403412	5448529	trans	SPNCRNA.28	non_coding
SPAC22F3.12c	chromosome_1	2665053	3318540	trans	SPAC3G9.13c	coding
SPAC22F8.02c	chromosome_1	3809960	3920943	trans	SPAC4H3.11c	coding
SPAC22F8.05	chromosome_1,chromosome_1	2665053,4602196	2811385,4949138	cis	SPAC22F8.05	NA
SPAC22F8.07c	chromosome_1,chromosome_1	3321289,4323910	3442884,4366536	cis	SPAC22F8.07c	NA
SPAC22G7.01c	chromosome_1	3315647	3456618	trans	SPAP32A8.03c	coding
SPAC22G7.08	chromosome_2	4288821	4290322	trans	SPBC16A3.05c	coding
SPAC22G7.10	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC22G7.11c	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC22H10.02	chromosome_2	2870909	2889260	trans	SPBP4H10.03	coding
SPAC22H10.04	chromosome_1	3440649	3557103	trans	SPNCRNA.909	non_coding
SPAC22H10.07	chromosome_1	3315647	3326503	trans	SPAPB1E7.12	coding
SPAC22H10.08	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC22H10.11c	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC22H10.13	chromosome_1	3315647	3745990	trans	SPNCRNA.909	non_coding
SPAC22H12.01c	chromosome_1	844407	855284	cis	SPAC22H12.01c	NA
SPAC22H12.03	chromosome_1	3919690	3991338	trans	SPNCRNA.953	non_coding
SPAC22H12.05c	chromosome_3	2117330	2123837	trans	SPCC126.02c	coding
SPAC23A1.03	chromosome_3	2087770	2123837	trans	SPCC576.14	coding
SPAC23A1.07	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC23A1.10	chromosome_2	657485	661645	trans	SPBC947.08c	coding
SPAC23A1.19c	chromosome_1	3440649	3556754	trans	SPAC1B1.02c	coding
SPAC23A1.19c	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC23C11.03	chromosome_1	4994520	5030169	trans	SPAC890.05	coding
SPAC23C11.03	chromosome_3	2117330	2123837	trans	SPNCRNA.1264	non_coding
SPAC23C11.15	chromosome_1	2925637	3326503	trans	SPAC6G9.06c	coding
SPAC23C4.06c	chromosome_2	775513	813287	trans	SPBC530.16	coding
SPAC23C4.06c	chromosome_3	2131422	2138108	trans	SPCC126.09	coding
SPAC23C4.10	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC23C4.14	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC23C4.16c	chromosome_1	3443342	3556754	trans	SPAC3A11.11c	coding
SPAC23C4.18c	chromosome_2	1365999	1392672	trans	SPBC8D2.05c	coding
SPAC23D3.04c	chromosome_3	2117330	2125061	trans	SPCC126.04c	coding
SPAC23D3.10c	chromosome_1	5403412	5448529	trans	SPNCRNA.1082	non_coding
SPAC23D3.11	chromosome_1	4463093	4611044	cis	SPAC23D3.11	NA
SPAC23G3.05c	chromosome_3	660926	665506	trans	SPCC16C4.03	coding
SPAC23G3.08c	chromosome_3	660926	665506	trans	SPCC16C4.02c	coding
SPAC23G3.09	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC23G3.10c	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC23G3.12c	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC23H3.03c	chromosome_1	3315647	3326503	trans	SPAPB1E7.11c	coding
SPAC23H3.13c	chromosome_1	2893934	2950891	trans	SPAC513.05	coding
SPAC23H4.06	chromosome_1	2893934	2955088	trans	SPAC513.02	coding
SPAC23H4.09	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC23H4.15	chromosome_1	460756	535185	trans	SPNCRNA.659	non_coding
SPAC24B11.05	chromosome_1	3315647	3456618	trans	SPAP32A8.03c	coding
SPAC24B11.06c	chromosome_1	2950891	3456618	trans	SPNCRNA.885	non_coding
SPAC24B11.11c	chromosome_1	5201900	5203011	trans	SPNCRNA.1059	non_coding
SPAC24B11.12c	chromosome_1	3315647	3326503	trans	SPAPB1E7.09	coding
SPAC24B11.13	chromosome_1	3554341	3745734	trans	SPAC17G6.02c	coding
SPAC24B11.14	chromosome_3	2101294	2119802	trans	SPCC576.14	coding
SPAC24C9.05c	chromosome_3	2087770	2119802	trans	SPCC126.02c	coding
SPAC24C9.07c	chromosome_3	2102509	2123837	trans	SPNCRNA.1263	non_coding
