Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0071704;	organic substance metabolic process	Enriched	72.1854304635762 (109/151)	54.8140770252324 (1651/3012)	0.00288129	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPAPB24D3.04c;SPBC2D10.07c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPAC637.09;SPBC1271.14;SPBC1289.13c;SPAC5D6.02c;SPBC354.05c;SPAC5D6.05;SPBC16H5.03c;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC691.04;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPAC2F7.17;SPBC776.15c;SPAC1B3.01c;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC3B8.05;SPAC22A12.03c;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPCC1322.16;SPAC343.10;SPBC23G7.12c;SPAC26F1.03;SPBC725.01;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;SPAC637.11;
GO Biological Process	GO:0008152;	metabolic process	Enriched	74.1721854304636 (112/151)	57.4037184594954 (1729/3012)	0.00350104	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC23H3.03c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPAPB24D3.04c;SPBC2D10.07c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPBP8B7.05c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPAC637.09;SPBC1271.14;SPBC1289.13c;SPAC5D6.02c;SPBC354.05c;SPAC22E12.04;SPAC5D6.05;SPAPB1E7.06c;SPBC16H5.03c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC691.04;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPAC2F7.17;SPBC776.15c;SPAC1B3.01c;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC3B8.05;SPAC22A12.03c;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPCC1322.16;SPAC343.10;SPBC23G7.12c;SPAC26F1.03;SPBC725.01;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;SPAC637.11;
GO Biological Process	GO:0010557;	positive regulation of macromolecule biosynthetic process	Enriched	11.2582781456954 (17/151)	3.58565737051793 (108/3012)	0.00414487	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0006807;	nitrogen compound metabolic process	Enriched	47.682119205298 (72/151)	31.4741035856574 (948/3012)	0.00465528	SPAPB18E9.01;SPAC22F3.09c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPCC188.07;SPCC736.07c;SPAC27E2.07;SPAC23H4.10c;SPAPB24D3.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPAC24C9.12c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC409.10;SPBC1271.14;SPAC637.09;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPBC691.04;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC776.15c;SPAC1B3.01c;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC1539.03c;SPAC2F7.07c;SPCC306.09c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAC1783.04c;SPAC10F6.01c;SPAC664.01c;SPBC336.13c;SPBC29A3.13;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAC637.11;
GO Biological Process	GO:0009891;	positive regulation of biosynthetic process	Enriched	11.2582781456954 (17/151)	3.65205843293493 (110/3012)	0.00474125	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0031325;	positive regulation of cellular metabolic process	Enriched	14.5695364238411 (22/151)	5.61088977423639 (169/3012)	0.00474125	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC1183.04c;SPAC23H3.03c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPBC725.02;SPCC1450.05c;SPBC3H7.15;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPAC1D4.06c;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0031328;	positive regulation of cellular biosynthetic process	Enriched	11.2582781456954 (17/151)	3.65205843293493 (110/3012)	0.00474125	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0009987;	cellular process	Enriched	89.4039735099338 (135/151)	75.7636122177955 (2282/3012)	0.00475789	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC1215.01;SPBC32F12.05c;SPBPB10D8.04c;SPAC1783.07c;SPAC3A12.12;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC23H3.03c;SPAC959.08;SPCC188.07;SPBC83.16c;SPCC736.07c;SPBC16C6.03c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPAC57A7.08;SPAPB24D3.04c;SPBC2D10.07c;SPCC1840.09;SPCC1884.02;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPBP8B7.05c;SPAC22E12.05c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPAC3H1.04c;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPAPB1A10.10c;SPAC637.09;SPAC6B12.12;SPBC1271.14;SPBC1289.13c;SPBC23G7.16;SPAC5D6.02c;SPBC354.05c;SPAC22E12.04;SPAC5D6.05;SPAPB1E7.06c;SPBC16H5.03c;SPAC1805.16c;SPBC19F8.06c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC691.04;SPAC977.14c;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPAC2F7.17;SPCC1442.15c;SPBC776.15c;SPAC1B3.01c;SPCC895.07;SPBC1604.25;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC3B8.05;SPAC30C2.06c;SPAC22A12.03c;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPAC688.11;SPCC736.08;SPAC6F12.10c;SPAC22A12.04c;SPBPB10D8.07c;SPAC1D4.06c;SPCC895.05;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC10F6.01c;SPAC664.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPCC1322.16;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC29A4.09;SPBC409.19c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAC15A10.17;SPAPB17E12.05;SPAC637.11;
GO Biological Process	GO:0045935;	positive regulation of nucleobase-containing compound metabolic process	Enriched	11.2582781456954 (17/151)	3.68525896414343 (111/3012)	0.00508184	SPAC22F3.09c;SPAC1783.07c;SPCC1183.04c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPBC3H7.15;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0051173;	positive regulation of nitrogen compound metabolic process	Enriched	11.2582781456954 (17/151)	3.68525896414343 (111/3012)	0.00508184	SPAC22F3.09c;SPAC1783.07c;SPCC1183.04c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPBC3H7.15;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0010604;	positive regulation of macromolecule metabolic process	Enriched	13.9072847682119 (21/151)	5.41168658698539 (163/3012)	0.00785298	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC1183.04c;SPCC188.07;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPBC725.02;SPCC1450.05c;SPBC3H7.15;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPAC1D4.06c;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
GO Biological Process	GO:0045944;	positive regulation of transcription from RNA polymerase II promoter	Enriched	9.27152317880795 (14/151)	2.75564409030544 (83/3012)	0.00862492	SPAC22F3.09c;SPAC1783.07c;SPCC736.07c;SPBC947.10;SPBC17G9.02c;SPAC5D6.05;SPCC1450.05c;SPAC2F7.07c;SPBC16G5.15c;SPCC736.08;SPBC23G7.12c;SPAC3G9.07c;SPBC1198.11c;SPCC1393.08;
