SPAC977.18	YBL029C-A
SPAC13G6.12c	YBR038W
SPAC13G6.12c	YNL192W
SPAC13G6.14	YOR163W
SPAC13G6.15c	YKL159C
SPAC24B11.05	YGL224C
SPAC24B11.05	YER037W
SPAC24B11.06c	YLR113W
SPAC24B11.07c	YDR251W
SPAC24B11.07c	YPL032C
SPAC24B11.08c	YAL042W
SPAC24B11.09	YGR243W
SPAC24B11.09	YHR162W
SPAC24B11.10c	YDL203C
SPAC24B11.10c	YER096W
SPAC24B11.11c	YGR092W
SPAC24B11.11c	YPR111W
SPAC24B11.12c	YDR093W
SPAC24B11.12c	YER166W
SPAC24B11.13	YDL205C
SPAC806.02c	YDR267C
SPAC806.02c	YIL003W
SPAC806.03c	YGL189C
SPAC806.03c	YER131W
SPAC806.04c	YMR027W
SPAC806.06c	YLR328W
SPAC806.06c	YGR010W
SPAC806.07	YKL067W
SPAC1639.01c	YJL196C
SPAC1639.01c	YCR034W
SPAC1639.01c	YLR372W
SPAC1639.02c	YJL129C
SPAC1639.02c	YKR050W
SPAC1F5.11c	YHR099W
SPAC1F5.10	YDR021W
SPAC1F5.09c	YNL278W
SPAC1F5.09c	YOL113W
SPAC1F5.08c	YNL291C
SPAC1F5.06	YKL073W
SPAC1F5.07c	YER014W
SPAC1F5.05c	YNR049C
SPAC1F5.04c	YNL271C
SPAC1F5.03c	YHR009C
SPAC1F5.02	YCL043C
SPAC1F5.02	YDR518W
SPAC18B11.10	YCR084C
SPAC18B11.09c	YJL218W
SPAC18B11.08c	YPR063C
SPAC18B11.07c	YGL058W
SPAC18B11.06	YER127W
SPAC18B11.05	YBR004C
SPAC18B11.04	YDR373W
SPAC18B11.03c	YGR212W
SPAC18B11.03c	YGR177C
SPAC18B11.03c	YOR377W
SPAC18B11.03c	YPL272C
SPAC18B11.02c	YDL036C
SPAC12G12.15	YDL001W
SPAC12G12.15	YDR282C
SPAC12G12.15	YFR048W
SPAC12G12.14c	YNL317W
SPAC12G12.13c	YOL115W
SPAC12G12.13c	YNL299W
SPAC12G12.12	YPL264C
SPAC12G12.11c	YPL191C
SPAC12G12.11c	YGL082W
SPAC12G12.17	YJL205C
SPAC12G12.08	YHR147C
SPAC12G12.06c	YOL010W
SPAC12G12.05c	YMR236W
SPAC12G12.04	YLR259C
SPAC12G12.03	YBL051C
SPAC12G12.02	YGR271C-A
SPAC12G12.01c	YBL104C
SPAC630.03	YJR065C
SPAC630.06c	YNL050C
SPAC630.05	YDL234C
SPAC630.08c	YGR060W
SPAC630.09c	YGR205W
SPAC630.10	YBR141C
SPAC630.11	YJR044C
SPAC630.12	YDR182W
SPAC630.14c	YCR084C
SPAC1751.01c	YEL007W
SPAC1751.01c	YHR177W
SPAC1751.04	YFR001W
SPAC1751.02c	YNR037C
SPAC31A2.02	YNR046W
SPAC31A2.03	YDL202W
SPAC31A2.04c	YER012W
SPAC31A2.05c	YDR180W
SPAC31A2.06	YMR098C
SPAC31A2.07c	YDL031W
SPAC31A2.09c	YOL062C
SPAC31A2.08	YDR405W
SPAC31A2.10	YGL164C
SPAC31A2.11c	YMR021C
SPAC31A2.11c	YGL166W
SPAC31A2.11c	YPR008W
SPAC31A2.12	YOR018W
SPAC31A2.12	YFR022W
SPAC31A2.13c	YKL006C-A
SPAC31A2.14	YOL087C
SPAC31A2.15c	YCL016C
SPAC13C5.01c	YGR135W
SPAC13C5.02	YPR152C
SPAC13C5.03	YMR065W
SPAC13C5.04	YLR126C
SPSNORNA.01	YNCN0001W
SPSNORNA.01	YNCL0042C
SPAC13C5.05c	YEL058W
SPAC13C5.07	YMR224C
SPAC23E2.01	YJL110C
SPAC23E2.01	YKR034W
SPAC24H6.13	YOL084W
SPAC24H6.12c	YPR066W
SPAC24H6.11c	YGR125W
SPAC24H6.10c	YDR035W
SPAC24H6.10c	YBR249C
SPAC24H6.09	YMR232W
SPAC24H6.07	YPL081W
SPAC24H6.07	YBR189W
SPAC24H6.06	YGL113W
SPAC24H6.05	YMR036C
SPAC24H6.04	YFR053C
SPAC24H6.04	YGL253W
SPAC24H6.03	YGR003W
SPAC24H6.02c	YNL310C
SPAC24H6.01c	YGL084C
SPAC24H6.01c	YPL189W
SPAPB21F2.02	YDR141C
SPAPB21F2.03	YGR081C
SPAC227.01c	YDR414C
SPAC227.19c	YPL096C-A
SPAC227.02c	YPR143W
SPAC227.03c	YIL006W
SPAC227.03c	YEL006W
SPAC227.04	YLL042C
SPAC227.05	YNL153C
SPAC227.06	YGL161C
SPAC227.07c	YGL190C
SPAC227.08c	YPR107C
SPAC227.09	YMR113W
SPAC227.09	YKL132C
SPAC227.10	YEL003W
SPAC227.11c	YDR057W
SPAC227.12	YPR178W
SPAC227.13c	YOR226C
SPAC227.13c	YPL135W
SPAC227.14	YFR007W
SPAC227.15	YDR028C
SPSNORNA.02	YNCM0011W
SPSNORNA.03	YNCM0012W
SPSNORNA.04	YNCM0014W
SPSNORNA.05	YNCM0015W
SPSNORNA.06	YNCM0016W
SPAC227.16c	YOL146W
SPAC227.17c	YDR512C
SPAC227.18	YIR034C
SPAC2F7.02c	YLL010C
SPAC2F7.02c	YLR019W
SPAC2F7.03c	YJL141C
SPAC2F7.04	YPR070W
SPAC2F7.05c	YPR041W
SPAC2F7.06c	YCR014C
SPAC2F7.07c	YMR075W
SPAC2F7.08c	YBR289W
SPAC2F7.09c	YOR205C
SPAC2F7.10	YDR264C
SPAC2F7.10	YOR034C
SPAC2F7.11	YPL184C
SPAC2F7.13c	YOL097C
SPAC2F7.14c	YHR069C
SPAC2F7.15	YDR175C
SPAC2F7.16c	YKR031C
SPAC2F7.17	YGL143C
SPAC13A11.01c	YFL047W
SPAC13A11.02c	YHR007C
SPAC13A11.03	YGL183C
SPAC13A11.04c	YMR223W
SPAC13A11.06	YGR087C
SPAC13A11.06	YLR134W
SPAC13A11.06	YLR044C
SPAC13A11.06	YDL080C
SPAC3H8.02	YLR380W
SPAC3H8.03	YCR071C
SPAC3H8.05c	YPR164W
SPAC3H8.06	YKL004W
SPAC3H8.06	YDR072C
SPAC3H8.07c	YGR078C
SPAC3H8.09c	YPL190C
SPAC3H8.10	YMR079W
SPAC3H8.10	YKL091C
SPAC1F3.01	YOR001W
SPAC1F3.02c	YJL095W
SPAC1F3.03	YPR032W
SPAC1F3.03	YBL106C
SPAC1F3.04c	YOR006C
SPAC1F3.05	YHR108W
SPAC1F3.05	YDR358W
SPAC1F3.07c	YLR033W
SPAC1F3.09	YGR093W
SPAC1F3.10c	YKL134C
SPAC1D4.02c	YDR517W
SPAC1D4.03c	YGL124C
SPAC1D4.05c	YDR414C
SPAC1D4.04	YIL142W
SPAC1D4.06c	YFL029C
SPAC1D4.08	YPR113W
SPAC1D4.10	YKR079C
SPAC1D4.11c	YLL019C
SPAC1D4.12	YER171W
SPAC1D4.13	YDL159W
SPAC1D4.14	YNL139C
SPAC22F3.12c	YLR452C
SPAC22F3.11c	YDL098C
SPAC22F3.10c	YJL101C
SPAC22F3.09c	YDL056W
SPAC22F3.08c	YGL171W
SPAC22F3.07c	YPR020W
SPAC22F3.15	YOR215C
SPAC22F3.06c	YBL022C
SPAC22F3.05c	YMR138W
SPAC22F3.04	YOR093C
SPAC22F3.03c	YBR073W
SPAC1296.01c	YEL058W
SPAC1296.02	YGL187C
SPAC1296.04	YER046W
SPAPJ696.01c	YOR132W
SPAC1296.06	YPR048W
SPAPJ696.02	YHR016C
SPAPJ696.02	YFR024C-A
SPAC22G7.01c	YLL029W
SPAC22G7.02	YGL016W
SPAC22G7.04	YGL094C
SPAC22G7.05	YNL308C
SPAC22G7.06c	YJL130C
SPAC22G7.07c	YGL192W
SPAC22G7.08	YNL183C
SPAC22G7.08	YOR267C
SPAC22G7.08	YDL025C
SPAC22G7.08	YDL214C
SPAC22G7.09c	YGL172W
SPAC22G7.10	YJR093C
SPAC4G8.02c	YDR086C
SPAC4G8.03c	YGL014W
SPAC4G8.03c	YGL178W
SPAC4G8.05	YNR047W
SPAC4G8.05	YCR091W
SPAC4G8.06c	YML005W
SPAC4G8.07c	YKR056W
SPAC4G8.08	YJL133W
SPAC4G8.08	YKR052C
SPAC4G8.09	YLR382C
SPAC4G8.11c	YLR393W
SPAC4G8.10	YHL031C
SPAC4G8.12c	YOR149C
SPAC4G8.13c	YNL027W
SPAC16C9.01c	YCR019W
SPAC16C9.02c	YLR017W
SPAC16C9.03	YHR170W
SPAC16C9.04c	YER068W
SPAC16C9.05	YMR075W
SPAC16C9.06c	YMR080C
SPAC16C9.07	YJL141C
SPAC2G11.02	YJR041C
SPAC2G11.03c	YGL095C
SPAC2G11.05c	YOR275C
SPAC2G11.06	YPR173C
SPAC2G11.07c	YER089C
SPAC2G11.07c	YBL056W
SPAC2G11.09	YLR241W
SPAC2G11.10c	YHR111W
SPAC2G11.11c	YKL078W
SPAC2G11.12	YMR190C
SPAC2G11.13	YCL038C
SPAC2G11.14	YGR274C
SPAC2G11.15c	YPL157W
SPAC521.02	YHR134W
SPAC521.03	YMR226C
SPAC521.04c	YNL321W
SPAC521.05	YBL072C
SPAC521.05	YER102W
SPAC23G3.01	YOR151C
SPAC23G3.04	YOR189W
SPAC23G3.05c	YOR301W
SPAC23G3.06	YOR310C
SPAC23G3.07c	YDR073W
SPAC23G3.08c	YIL156W
SPAC23G3.09	YMR005W
SPAC23G3.10c	YNR023W
SPAC23G3.10c	YCR052W
SPAC23G3.11	YDL097C
SPAC23G3.12c	YNL123W
SPAC22H12.02	YPL129W
SPAC22H12.03	YGR031W
SPAC22H12.03	YGR015C
SPAC22H12.04c	YLR441C
SPAC22H12.04c	YML063W
SPAC22H12.05c	YLR001C
SPAC1687.01	YNL113W
SPAC1687.02	YMR274C
SPAC1687.03c	YOL094C
SPAC1687.05	YOR156C
SPAC1687.05	YDR409W
SPAC1687.07	YCL012C
SPAC1687.09	YJL083W
SPAC1687.09	YKR019C
SPAC1687.10	YOR058C
SPAC1687.11	YCL054W
SPAC1687.12c	YDR204W
SPAC1687.13c	YDL216C
SPAC1687.15	YMR139W
SPAC1687.15	YDL079C
SPAC1687.15	YNL307C
SPAC1687.16c	YLR056W
SPAC1687.17c	YDR411C
SPAC1687.17c	YBR201W
SPAC1687.18c	YER147C
SPAC1687.20c	YLR381W
SPAC1687.21	YOR283W
SPAC1687.22c	YLL013C
SPAC222.03c	YHR005C-A
SPAC222.03c	YBR091C
SPAC222.04c	YEL044W
SPAC222.05c	YMR023C
SPAC222.06	YAL025C
SPAC222.08c	YMR095C
SPAC222.08c	YNL334C
SPAC222.08c	YFL060C
SPAC222.09	YNL251C
SPAC222.10c	YJR053W
SPAC222.11	YDR044W
SPAC222.12c	YJR121W
SPAC222.13c	YIL107C
SPAC222.14c	YOR165W
SPAC222.15	YGL033W
SPAC821.06	YCR002C
SPAC821.08c	YGL116W
SPAC821.09	YNR067C
SPAC821.09	YLR144C
SPAC821.10c	YJR104C
SPAC821.11	YOR323C
SPAC821.12	YNL161W
SPAC821.13c	YMR162C
SPAC139.01c	YNL085W
SPAC139.02c	YKL120W
SPAC139.05	YBR006W
SPAC139.06	YPL001W
SPAC23C4.02	YLR429W
SPAC23C4.03	YGL021W
SPAC23C4.03	YBL009W
SPAC23C4.05c	YML128C
SPAC23C4.06c	YNL024C
SPAC23C4.08	YIL118W
SPAC23C4.09c	YMR074C
SPAC23C4.10	YNL272C
SPAC23C4.11	YML081C-A
SPAC23C4.12	YPL204W
SPAC23C4.13	YIL004C
SPAC23C4.14	YBR110W
SPAC23C4.15	YBR154C
SPAC23C4.16c	YCR068W
SPAC23C4.17	YBL024W
SPAC23C4.18c	YJL090C
SPAC23C4.19	YML010W
SPAC1A6.01c	YKR023W
SPAC1A6.02	YPR169W
SPAC1A6.03c	YMR008C
SPAC1A6.03c	YMR006C
SPAC1A6.03c	YOL011W
SPAC1A6.04c	YMR008C
SPAC1A6.04c	YMR006C
SPAC1A6.04c	YOL011W
SPAC1A6.05c	YKR089C
SPAC1A6.05c	YOR081C
SPAC1A6.07	YMR086W
SPAC1A6.09c	YHL003C
SPAC1A6.09c	YKL008C
SPAC1A6.10	YKL027W
SPAC1A6.10	YHR003C
SPAC30D11.13	YDL064W
SPAC30D11.12	YLR325C
SPAC30D11.11	YLR023C
SPAC30D11.10	YML032C
SPAC30D11.07	YAL015C
SPAC30D11.07	YOL043C
SPAC30D11.06c	YKR051W
SPAC30D11.05	YJL024C
SPAC30D11.04c	YOR098C
SPAC30D11.03	YLL008W
SPAC56F8.02	YOR093C
SPAC56F8.03	YAL035W
SPAC56F8.04c	YNR041C
SPAC56F8.05c	YIL041W
SPAC56F8.06c	YGR227W
SPAC56F8.07	YLR050C
SPAC56F8.08	YER143W
SPAC56F8.09	YDR083W
SPAC56F8.10	YGL125W
SPAC56F8.11	YLR066W
SPAC22A12.01c	YMR137C
SPAC22A12.04c	YJL190C
SPAC22A12.04c	YLR367W
SPAC22A12.05	YDR045C
SPAC22A12.06c	YMR222C
SPAC22A12.07c	YDL095W
SPAC22A12.07c	YDL093W
SPAC22A12.08c	YKR070W
SPAC22A12.08c	YDL142C
SPAC22A12.09c	YJL203W
SPAC22A12.10	YHR123W
SPAC22A12.10	YNL130C
SPAC22A12.11	YML070W
SPAC22A12.11	YFL053W
SPAC22A12.12c	YOL142W
SPAC22A12.13	YDR437W
SPAC22A12.14c	YDR068W
SPAC22A12.15c	YJL034W
SPAC4C5.01	YKL033W-A
SPAC4C5.02c	YLR262C
SPAC4C5.04	YPR180W
SPSNORNA.07	YNCP0015C
SPSNORNA.08	YNCP0014C
SPSNORNA.09	YNCP0013C
SPAC10F6.01c	YJR137C
SPAC10F6.02c	YER013W
SPAC10F6.03c	YBL039C
SPAC10F6.03c	YJR103W
SPAC10F6.04	YAL020C
SPAC10F6.05c	YER100W
SPAC10F6.08c	YDL002C
SPAC10F6.09c	YJL074C
SPAC10F6.10	YOR119C
SPAC10F6.11c	YLR423C
SPAC10F6.12c	YDR410C
SPAC10F6.13c	YLR027C
SPNCRNA.82	YNCN0013W
SPSNORNA.10	YNCN0014W
SPSNORNA.10	YNCD0030W
SPAC10F6.16	YHR132W-A
SPAC10F6.16	YNL157W
SPAC10F6.17c	YOR090C
SPAC56E4.02c	YGL047W
SPAC56E4.03	YGL202W
SPAC56E4.03	YHR137W
SPAC56E4.04c	YNR016C
SPAC56E4.04c	YMR207C
SPAC56E4.05	YLR065C
SPAC56E4.06c	YLR299W
SPAC1420.01c	YNL076W
SPAC1420.02c	YJR064W
SPAC1420.03	YDL147W
SPAC1420.04c	YPL132W
SPAC1420.04c	YKL155C
SPAPB17E12.03	YMR026C
SPAPB17E12.05	YLR185W
SPAPB17E12.05	YDR500C
SPAPB17E12.06	YDR532C
SPAPB17E12.07c	YLR105C
SPAPB17E12.08	YNL080C
SPAPB17E12.10c	YGL136C
SPAPB17E12.11	YOR085W
SPAPB17E12.11	YML019W
SPAPB17E12.12c	YPR011C
SPAPB17E12.14c	YIL107C
SPAPB17E12.13	YOL120C
SPAPB17E12.13	YNL301C
SPAC1565.01	YNR018W
SPAC1565.04c	YCL032W
SPAC1565.05	YGR128C
SPAC1565.06c	YML064C
SPAC1565.08	YDL126C
SPAC6F12.02	YDR216W
SPAC6F12.02	YML081W
SPAC6F12.03c	YAL014C
SPAC6F12.04	YDR100W
SPAC6F12.05c	YJR142W
SPAC6F12.05c	YOR143C
SPAC6F12.06	YDL135C
SPAC6F12.07	YGR082W
SPAC6F12.08c	YBR102C
SPAC6F12.10c	YGR061C
SPAC6F12.11c	YBR123C
SPAC6F12.12	YOR014W
SPAC6F12.13c	YJL167W
SPAC6F12.14	YHR166C
SPAC6F12.15c	YKL022C
SPAC6F12.16c	YJL050W
SPAC6F12.17	YMR061W
SPAC19E9.01c	YMR153W
SPAC19E9.01c	YDL088C
SPAC19E9.02	YAR018C
SPAC19E9.03	YHR071W
SPAC57A10.02	YCL024W
SPAC57A10.02	YDR507C
SPAC57A10.02	YKL101W
SPAC57A10.14	YPL047W
SPAC57A10.05c	YIL046W
SPAC57A10.07	YOR238W
SPAC57A10.08c	YBR204C
SPAC57A10.09c	YBR089C-A
SPAC57A10.09c	YPR052C
SPAC57A10.10c	YDL051W
SPAC57A10.11c	YKL195W
SPAC57A10.12c	YKL216W
SPAC20G8.01	YDL164C
SPAC20G8.02	YOR022C
SPAC20G8.03	YDR497C
SPAC20G8.03	YOL103W
SPAC20G8.03	YDR387C
SPAC20G8.04c	YOR356W
SPAC20G8.05c	YMR032W
SPAC20G8.06	YCR093W
SPAC20G8.07c	YMR202W
SPAC20G8.08c	YAL019W
SPAC20G8.09c	YNL132W
SPAC20G8.10c	YPL120W
SPAC3A12.02	YMR267W
SPAC3A12.03c	YBR062C
SPAC3A12.04c	YHR062C
SPAC3A12.05c	YCR042C
SPAC3A12.06c	YDL206W
SPAC3A12.06c	YJR106W
SPAC3A12.19	YBR282W
SPAC3A12.07	YOL005C
SPAC3A12.08	YER182W
SPAC3A12.10	YMR242C
SPAC3A12.10	YOR312C
SPAC3A12.11c	YDL209C
SPAC3A12.12	YNL315C
SPAC3A12.13c	YLR192C
SPAC3A12.14	YBR109C
SPAC3A12.15	YJL029C
SPAC3A12.16c	YJL143W
SPAC3A12.17c	YGR012W
SPAC3A12.18	YNL241C
SPAC9.02c	YDR071C
SPAC9.03c	YER172C
SPAC9.05	YIR002C
SPAC9.06c	YJR024C
SPAC9.07c	YAL036C
SPAC9.09	YER091C
SPAC9.10	YKL174C
SPAC9.10	YGL077C
SPAC9.10	YDL210W
SPAC9.12c	YJL180C
SPAC9.13c	YKL095W
SPAC5D6.13	YDR372C
SPAC5D6.12	YDL044C
SPAC5D6.09c	YCR010C
SPAC5D6.09c	YNR002C
SPAC5D6.09c	YDR384C
SPAC5D6.06c	YBR070C
SPAC5D6.05	YGR104C
SPAC5D6.04	YBR287W
SPAC5D6.01	YJL190C
SPAC5D6.01	YLR367W
SPAC57A7.12	YHR064C
SPAC57A7.11	YHR186C
SPAC57A7.10c	YNL287W
SPAC57A7.09	YBR062C
SPAC57A7.08	YML016C
SPAC57A7.08	YDR436W
SPAC57A7.08	YPL179W
SPAC57A7.07c	YLL062C
SPAC57A7.07c	YPL273W
SPAC57A7.06	YML093W
SPAC57A7.05	YDL231C
SPAC57A7.04c	YER165W
SPAC167.07c	YGL141W
SPAC167.04	YKR065C
SPAC167.02	YPR176C
SPAC167.03c	YOR308C
SPAC167.09	YNL158W
SPAC167.01	YHR079C
SPAC1705.02	YDL085C-A
SPAC1705.03c	YBR078W
SPAC1705.03c	YDR055W
SPAC1705.03c	YDR522C
SPAC1705.03c	YCL048W
SPAC23H4.18c	YOL133W
SPAC23H4.17c	YPL042C
SPAC23H4.15	YDL060W
SPAC23H4.14	YDL077C
SPAC23H4.21	YLR407W
SPAC23H4.12	YPR023C
SPAC23H4.11c	YLR315W
SPAC23H4.10c	YPL214C
SPAC23H4.08	YDL115C
SPAC23H4.07c	YKL154W
SPAC23H4.06	YPR035W
SPAC23H4.04	YDL033C
SPAC23H4.03c	YML012W
SPAC23H4.01c	YHR073W
SPAP27G11.02	YKL133C
SPAP27G11.02	YMR115W
SPAP27G11.03	YLR215C
SPAP27G11.04c	YLR316C
SPAP27G11.05c	YDR080W
SPAP27G11.06c	YLR170C
SPAP27G11.07c	YGR262C
SPAP27G11.09c	YBL033C
SPAP27G11.10c	YML103C
SPAP27G11.12	YLR436C
SPAP27G11.13c	YHR072W-A
SPAP27G11.15	YBR228W
SPAC343.01c	YMR220W
SPAC343.02	YCR046C
SPAC343.03	YDL008W
SPAC343.04c	YCL039W
SPAC343.05	YDL185W
SPAC343.06c	YJR100C
SPAC343.08c	YKL003C
SPAC343.09	YBL058W
SPAC343.10	YPL023C
SPAC343.13	YBL080C
SPAC343.14c	YLR291C
SPAC343.15	YOR274W
SPAC343.16	YDR234W
SPAC343.18	YDL013W
SPAC343.19	YJL100W
SPAC824.02	YFL025C
SPAC824.03c	YOR305W
SPAC824.04	YKL018W
SPAC824.05	YPL045W
SPAC824.06	YLR008C
SPAC824.06	YNL328C
SPAC824.07	YDR272W
SPAC824.07	YOR040W
SPAC824.08	YEL042W
SPAC824.09c	YIL044C
SPAC824.09c	YDR524C
SPAC664.02c	YOR141C
SPAC664.03	YBR279W
SPAC664.04c	YDL083C
SPAC664.04c	YMR143W
SPAC664.05	YDL082W
SPAC664.05	YMR142C
SPAC664.06	YNL002C
SPAC664.07c	YPL194W
SPAC664.08c	YDR299W
SPAC664.09	YLR299W
SPAC664.10	YPR141C
SPAC664.11	YJR045C
SPAC664.11	YEL030W
SPAC664.12c	YDR379C-A
SPAC664.14	YPR138C
SPAC664.14	YGR121C
SPAC664.15	YJL112W
SPACUNK12.02c	YFR014C
SPACUNK12.02c	YOL016C
SPAC105.01c	YJL094C
SPAC105.02c	YGL242C
SPAC105.03c	YIR023W
SPAC17A5.01	YNL329C
SPAC17A5.02c	YKL149C
SPAC17A5.03	YOR063W
SPAC17A5.06	YIL143C
SPAC17A5.07c	YIL031W
SPAC17A5.08	YAL007C
SPAC17A5.08	YOR016C
SPAC17A5.08	YDL018C
SPAC17A5.09c	YMR311C
SPAC17A5.10	YGR268C
SPAC17A5.11	YHL022C
SPAC17A5.12	YDR320C
SPAC17A5.13	YGR267C
SPAC17A5.14	YGL173C
SPAC17A5.15c	YGL245W
SPAC17A5.16	YLR436C
SPAC1610.01	YKL183W
SPAC1610.02c	YDR116C
SPAC1002.01	YPL041C
SPAC1002.02	YLR018C
SPAC1002.03c	YBR229C
SPAC1002.04c	YML015C
SPAC1002.05c	YJR119C
SPAC1002.07c	YPR193C
SPAC1002.07c	YEL066W
SPAC1002.08c	YMR228W
SPAC1002.09c	YFL018C
SPAC1002.11	YLR088W
SPAC1002.12c	YBR006W
SPAC1002.13c	YIL123W
SPAC1002.13c	YJL116C
SPAC1002.13c	YKR042W
SPAC1002.13c	YNL066W
SPAC1002.15c	YHR058C
SPAC1002.14	YML068W
SPAC1002.16c	YGR260W
SPAC1002.17c	YHR128W
SPAC1399.05c	YDR520C
SPAC1399.04c	YHR128W
SPAC1399.03	YBR021W
SPAC1399.03	YIR028W
SPAC1399.03	YBL042C
SPAC1399.02	YCL069W
SPAC1399.02	YGR224W
SPAC1399.02	YPR198W
SPAP11E10.01	YGL159W
SPAPB1A10.02	YDL139C
SPAPB1A10.03	YKL186C
SPAPB1A10.16	YGL041W-A
SPAPB1A10.04c	YKL019W
SPAPB1A10.06c	YMR128W
SPAPB1A10.07c	YDR105C
SPAPB1A10.09	YOR058C
SPAPB1A10.10c	YML001W
SPAPB1A10.11c	YOL033W
SPAPB1A10.12c	YML086C
SPAPB1A10.15	YLR242C
SPAC140.01	YLL041C
SPAC140.02	YGR159C
SPAC110.01	YOR233W
SPAC110.01	YPL141C
SPAC110.02	YMR076C
SPAC110.03	YLR229C
SPAC110.04c	YPL106C
SPAC110.04c	YBR169C
SPAP14E8.02	YLR183C
SPAP14E8.02	YDR501W
SPAP14E8.03	YLR078C
SPAP14E8.04	YKR087C
SPAP14E8.05c	YJR085C
SPAC3H1.01c	YLL004W
SPAC3H1.02c	YOL098C
SPAC3H1.03	YMR263W
SPAC3H1.04c	YHR194W
SPAC3H1.04c	YOR147W
SPAC3H1.05	YJR117W
SPAC3H1.06c	YCL069W
SPAC3H1.06c	YGR224W
SPAC3H1.06c	YPR198W
SPAC3H1.07	YPL111W
SPAC3H1.08c	YFL046W
SPAC3H1.09c	YKL146W
SPAC3H1.09c	YNL101W
SPAC3H1.11	YER130C
SPAC3H1.11	YMR037C
SPAC3H1.11	YKL062W
SPAC3H1.12c	YGL131C
SPAC3H1.13	YPL236C
SPAC3H1.14	YGR066C
SPAC3H1.14	YBR105C
SPAC9G1.02	YCR073C
SPAC9G1.02	YNR031C
SPAC9G1.03c	YGL030W
SPAC9G1.04	YER154W
SPAC9G1.06c	YDL117W
SPAC9G1.05	YMR092C
SPAC9G1.10c	YNL106C
SPAC9G1.10c	YOR109W
SPAC9G1.11c	YHR107C
SPAC9G1.12	YJL125C
SPAC9G1.13c	YGR002C
SPAC767.01c	YKR001C
SPAC17H9.02	YJL050W
SPAC17H9.03c	YLR376C
SPAC17H9.04c	YDL167C
SPAC17H9.05	YKL172W
SPAC17H9.07	YKL122C
SPAC17H9.08	YHR002W
SPAC17H9.09c	YOR101W
SPAC17H9.09c	YNL098C
SPAC17H9.11	YDR063W
SPAC17H9.12c	YOR037W
SPAC17H9.13c	YDR300C
SPAC17H9.13c	YHR033W
SPAC17H9.14c	YOL088C
SPAC17H9.16	YNL131W
SPAC17H9.17c	YAL010C
SPAC17H9.20	YIL026C
SPAC607.03c	YEL026W
SPAC607.04	YDR173C
SPAC607.05	YDR427W
SPAC607.06c	YIL108W
SPAC607.08c	YFL034W
SPAC607.09c	YJL059W
SPAC732.01	YPL234C
SPAC732.02c	YJL155C
SPAC3C7.01c	YKL212W
SPAC3C7.02c	YGR086C
SPAC3C7.02c	YPL004C
SPAC3C7.03c	YDR076W
SPAC3C7.04	YKL015W
SPAC3C7.06c	YJL106W
SPAC3C7.07c	YGL017W
