"","haplogroup","chr","p_val"
"212",54,"chromosome_1",0.0489
"213",54,"chromosome_1",0.0489
"214",55,"chromosome_1",0.0909
"215",55,"chromosome_1",0.0909
"216",56,"chromosome_1",0.0718
"217",56,"chromosome_1",0.0718
"218",56,"chromosome_1",0.0718
"219",56,"chromosome_1",0.0718
"220",57,"chromosome_1",0.14765
"221",57,"chromosome_1",0.14765
"222",57,"chromosome_1",0.14765
"223",58,"chromosome_1",1
"224",58,"chromosome_1",1
"225",58,"chromosome_1",1
"226",58,"chromosome_1",1
"227",58,"chromosome_1",1
"228",58,"chromosome_1",1
"229",58,"chromosome_1",1
"230",59,"chromosome_1",0.0581
"231",59,"chromosome_1",0.0581
"232",59,"chromosome_1",0.0581
"233",59,"chromosome_1",0.0581
"234",59,"chromosome_1",0.0581
"235",59,"chromosome_1",0.0581
"236",59,"chromosome_1",0.0581
"237",60,"chromosome_1",0.1396
"238",60,"chromosome_1",0.1396
"239",60,"chromosome_1",0.1396
"240",60,"chromosome_1",0.1396
"241",60,"chromosome_1",0.1396
"242",60,"chromosome_1",0.1396
"243",60,"chromosome_1",0.1396
"244",60,"chromosome_1",0.1396
"245",60,"chromosome_1",0.1396
"246",60,"chromosome_1",0.1396
"247",60,"chromosome_1",0.1396
"248",60,"chromosome_1",0.1396
"249",60,"chromosome_1",0.1396
"250",60,"chromosome_1",0.1396
"251",60,"chromosome_1",0.1396
"252",61,"chromosome_1",1
"253",62,"chromosome_1",1
"254",61,"chromosome_1",1
"255",61,"chromosome_1",1
"256",61,"chromosome_1",1
"257",61,"chromosome_1",1
"258",61,"chromosome_1",1
"259",63,"chromosome_1",1
"260",63,"chromosome_1",1
"261",63,"chromosome_1",1
"262",63,"chromosome_1",1
"263",63,"chromosome_1",1
"264",63,"chromosome_1",1
"265",63,"chromosome_1",1
"266",63,"chromosome_1",1
"267",64,"chromosome_1",0.392
"268",64,"chromosome_1",0.392
"269",64,"chromosome_1",0.392
"270",64,"chromosome_1",0.392
"271",64,"chromosome_1",0.392
"272",64,"chromosome_1",0.392
"273",64,"chromosome_1",0.392
"274",64,"chromosome_1",0.392
"275",64,"chromosome_1",0.392
"276",64,"chromosome_1",0.392
"277",64,"chromosome_1",0.392
"278",64,"chromosome_1",0.392
"279",65,"chromosome_1",0.3884
"280",65,"chromosome_1",0.3884
"281",66,"chromosome_1",1
"282",67,"chromosome_1",0.4157
"283",67,"chromosome_1",0.4157
"284",67,"chromosome_1",0.4157
"285",67,"chromosome_1",0.4157
"286",67,"chromosome_1",0.4157
"287",67,"chromosome_1",0.4157
"288",67,"chromosome_1",0.4157
"289",68,"chromosome_1",0.33365
"290",68,"chromosome_1",0.33365
"291",68,"chromosome_1",0.33365
"292",68,"chromosome_1",0.33365
"293",68,"chromosome_1",0.33365
"294",68,"chromosome_1",0.33365
"295",68,"chromosome_1",0.33365
"296",68,"chromosome_1",0.33365
"297",68,"chromosome_1",0.33365
"298",68,"chromosome_1",0.33365
"299",68,"chromosome_1",0.33365
"300",68,"chromosome_1",0.33365
"301",68,"chromosome_1",0.33365
"302",68,"chromosome_1",0.33365
"303",68,"chromosome_1",0.33365
"304",68,"chromosome_1",0.33365
"305",69,"chromosome_1",1
"306",69,"chromosome_1",1
"307",69,"chromosome_1",1
"308",70,"chromosome_1",1
"309",71,"chromosome_1",0.4062
"310",71,"chromosome_1",0.4062
"311",71,"chromosome_1",0.4062
"312",71,"chromosome_1",0.4062
"313",72,"chromosome_1",0.28045
"314",73,"chromosome_1",0.28535
"315",74,"chromosome_1",0.3457
"316",75,"chromosome_1",1
"317",76,"chromosome_1",1
"318",76,"chromosome_1",1
"319",77,"chromosome_1",0.3277
"320",78,"chromosome_1",1
"321",79,"chromosome_1",1
"322",80,"chromosome_1",1
"323",80,"chromosome_1",1
"324",81,"chromosome_1",0.36785
"325",81,"chromosome_1",0.36785
"326",82,"chromosome_1",1
"327",83,"chromosome_1",1
"328",84,"chromosome_1",0.4032
"329",85,"chromosome_1",1
"330",85,"chromosome_1",1
"331",85,"chromosome_1",1
"332",85,"chromosome_1",1
"333",85,"chromosome_1",1
"334",86,"chromosome_1",1
"335",87,"chromosome_1",0.3677
"336",88,"chromosome_1",1
"337",89,"chromosome_1",0.3251
"338",90,"chromosome_1",1
"339",91,"chromosome_1",1
"340",92,"chromosome_1",1
"341",93,"chromosome_1",1
"342",94,"chromosome_1",1
"343",94,"chromosome_1",1
"344",94,"chromosome_1",1
"345",95,"chromosome_1",1
"346",95,"chromosome_1",1
"347",96,"chromosome_1",1
"348",97,"chromosome_1",1
"349",98,"chromosome_1",0.3873
"350",98,"chromosome_1",0.3873
"351",99,"chromosome_1",0.15695
"352",100,"chromosome_1",0.2451
"353",NA,"chromosome_1",NA
"354",NA,"chromosome_1",NA
"355",101,"chromosome_1",0.15245
"356",102,"chromosome_1",1
"357",102,"chromosome_1",1
"358",103,"chromosome_1",1
"359",103,"chromosome_1",1
"360",103,"chromosome_1",1
"361",103,"chromosome_1",1
"362",103,"chromosome_1",1
"363",103,"chromosome_1",1
"364",103,"chromosome_1",1
"365",103,"chromosome_1",1
"366",103,"chromosome_1",1
"367",103,"chromosome_1",1
"368",103,"chromosome_1",1
"369",103,"chromosome_1",1
"370",103,"chromosome_1",1
"371",103,"chromosome_1",1
"372",103,"chromosome_1",1
"373",103,"chromosome_1",1
"374",103,"chromosome_1",1
"375",103,"chromosome_1",1
"376",104,"chromosome_1",1
"377",104,"chromosome_1",1
"378",103,"chromosome_1",1
"379",103,"chromosome_1",1
"380",103,"chromosome_1",1
"381",103,"chromosome_1",1
"382",103,"chromosome_1",1
"383",103,"chromosome_1",1
"384",103,"chromosome_1",1
"385",105,"chromosome_1",1
"386",105,"chromosome_1",1
"387",105,"chromosome_1",1
"388",105,"chromosome_1",1
"389",105,"chromosome_1",1
"390",105,"chromosome_1",1
"391",105,"chromosome_1",1
"392",105,"chromosome_1",1
"393",106,"chromosome_1",1
"394",105,"chromosome_1",1
"395",105,"chromosome_1",1
"396",105,"chromosome_1",1
"397",107,"chromosome_1",1
"398",108,"chromosome_1",1
"399",109,"chromosome_1",1
"400",110,"chromosome_1",1
"401",110,"chromosome_1",1
"402",110,"chromosome_1",1
"403",110,"chromosome_1",1
"404",110,"chromosome_1",1
"405",110,"chromosome_1",1
"406",110,"chromosome_1",1
"407",110,"chromosome_1",1
"408",110,"chromosome_1",1
"409",110,"chromosome_1",1
"410",110,"chromosome_1",1
"411",110,"chromosome_1",1
"412",111,"chromosome_1",0.39575
"413",112,"chromosome_1",1
"414",NA,"chromosome_1",NA
"415",NA,"chromosome_1",NA
"416",112,"chromosome_1",1
"417",113,"chromosome_1",1
"418",113,"chromosome_1",1
"419",113,"chromosome_1",1
"420",113,"chromosome_1",1
"421",114,"chromosome_1",1
"422",114,"chromosome_1",1
"423",115,"chromosome_1",0.1514
"424",115,"chromosome_1",0.1514
"425",115,"chromosome_1",0.1514
"426",116,"chromosome_1",0.1281
"427",116,"chromosome_1",0.1281
"428",116,"chromosome_1",0.1281
"429",117,"chromosome_1",0.07715
"430",117,"chromosome_1",0.07715
"431",117,"chromosome_1",0.07715
"432",118,"chromosome_1",0.06075
"433",119,"chromosome_1",0.04985
"434",NA,"chromosome_1",NA
"435",NA,"chromosome_1",NA
"436",NA,"chromosome_1",NA
"437",NA,"chromosome_1",NA
"438",120,"chromosome_1",1
"439",NA,"chromosome_1",NA
"440",121,"chromosome_1",1
"441",122,"chromosome_1",1
"442",123,"chromosome_1",1
"443",123,"chromosome_1",1
"444",124,"chromosome_1",1
"445",124,"chromosome_1",1
"446",124,"chromosome_1",1
"447",124,"chromosome_1",1
"448",124,"chromosome_1",1
"449",124,"chromosome_1",1
"450",124,"chromosome_1",1
"451",124,"chromosome_1",1
"452",124,"chromosome_1",1
"453",124,"chromosome_1",1
"454",124,"chromosome_1",1
"455",124,"chromosome_1",1
"456",124,"chromosome_1",1
"457",124,"chromosome_1",1
"458",124,"chromosome_1",1
"459",124,"chromosome_1",1
"460",124,"chromosome_1",1
"461",124,"chromosome_1",1
"462",124,"chromosome_1",1
"463",124,"chromosome_1",1
"464",124,"chromosome_1",1
"465",124,"chromosome_1",1
"466",124,"chromosome_1",1
"467",124,"chromosome_1",1
"468",124,"chromosome_1",1
"469",124,"chromosome_1",1
"470",124,"chromosome_1",1
"471",124,"chromosome_1",1
"472",124,"chromosome_1",1
"473",124,"chromosome_1",1
"474",124,"chromosome_1",1
"475",124,"chromosome_1",1
"476",124,"chromosome_1",1
"477",124,"chromosome_1",1
"478",124,"chromosome_1",1
"479",124,"chromosome_1",1
"480",124,"chromosome_1",1
"481",124,"chromosome_1",1
"482",124,"chromosome_1",1
"483",124,"chromosome_1",1
"484",125,"chromosome_1",1
"485",125,"chromosome_1",1
"486",125,"chromosome_1",1
"487",125,"chromosome_1",1
"488",126,"chromosome_1",1
"489",127,"chromosome_1",1
"490",127,"chromosome_1",1
"491",127,"chromosome_1",1
"492",127,"chromosome_1",1
"493",127,"chromosome_1",1
"494",128,"chromosome_1",1
"495",128,"chromosome_1",1
"496",128,"chromosome_1",1
"497",128,"chromosome_1",1
"498",128,"chromosome_1",1
"499",129,"chromosome_1",1
"500",130,"chromosome_1",1
"501",130,"chromosome_1",1
"502",130,"chromosome_1",1
"503",131,"chromosome_1",1
"504",131,"chromosome_1",1
"505",132,"chromosome_1",1
"506",133,"chromosome_1",1
"507",133,"chromosome_1",1
"508",133,"chromosome_1",1
"509",134,"chromosome_1",1
"510",134,"chromosome_1",1
"511",134,"chromosome_1",1
"512",134,"chromosome_1",1
"513",134,"chromosome_1",1
"514",134,"chromosome_1",1
"515",134,"chromosome_1",1
"516",134,"chromosome_1",1
"517",134,"chromosome_1",1
"518",134,"chromosome_1",1
"519",134,"chromosome_1",1
"520",134,"chromosome_1",1
"521",134,"chromosome_1",1
"522",134,"chromosome_1",1
"523",134,"chromosome_1",1
"524",134,"chromosome_1",1
"525",135,"chromosome_1",1
"526",135,"chromosome_1",1
"527",135,"chromosome_1",1
"528",135,"chromosome_1",1
"529",135,"chromosome_1",1
"530",135,"chromosome_1",1
"531",135,"chromosome_1",1
"532",136,"chromosome_1",1
"533",137,"chromosome_1",1
"534",137,"chromosome_1",1
"535",137,"chromosome_1",1
"536",137,"chromosome_1",1
"537",138,"chromosome_1",1
"538",138,"chromosome_1",1
"539",138,"chromosome_1",1
"540",139,"chromosome_1",1
"541",140,"chromosome_1",1
"542",141,"chromosome_1",1
"543",142,"chromosome_1",1
"544",143,"chromosome_1",1
"545",143,"chromosome_1",1
"546",144,"chromosome_1",1
"547",144,"chromosome_1",1
"548",144,"chromosome_1",1
"549",144,"chromosome_1",1
"550",144,"chromosome_1",1
"551",144,"chromosome_1",1
"552",145,"chromosome_1",1
"553",145,"chromosome_1",1
"554",145,"chromosome_1",1
"555",146,"chromosome_1",1
"556",146,"chromosome_1",1
"557",146,"chromosome_1",1
"558",147,"chromosome_1",0.13905
"559",147,"chromosome_1",0.13905
"560",147,"chromosome_1",0.13905
"561",147,"chromosome_1",0.13905
"562",147,"chromosome_1",0.13905
"563",147,"chromosome_1",0.13905
"564",147,"chromosome_1",0.13905
"565",147,"chromosome_1",0.13905
"566",147,"chromosome_1",0.13905
"567",148,"chromosome_1",0.2869
"568",148,"chromosome_1",0.2869
"569",148,"chromosome_1",0.2869
"570",148,"chromosome_1",0.2869
"571",148,"chromosome_1",0.2869
"572",149,"chromosome_1",1
"573",149,"chromosome_1",1
"574",149,"chromosome_1",1
"575",149,"chromosome_1",1
"576",150,"chromosome_1",1
"577",149,"chromosome_1",1
"578",149,"chromosome_1",1
"579",149,"chromosome_1",1
"580",149,"chromosome_1",1
"581",149,"chromosome_1",1
"582",149,"chromosome_1",1
"583",149,"chromosome_1",1
"584",151,"chromosome_1",0.09095
"585",151,"chromosome_1",0.09095
"586",152,"chromosome_1",0.06675
"587",152,"chromosome_1",0.06675
"588",152,"chromosome_1",0.06675
"589",152,"chromosome_1",0.06675
"590",152,"chromosome_1",0.06675
"591",152,"chromosome_1",0.06675
"592",152,"chromosome_1",0.06675
"593",152,"chromosome_1",0.06675
"594",152,"chromosome_1",0.06675
"595",152,"chromosome_1",0.06675
"596",152,"chromosome_1",0.06675
"597",152,"chromosome_1",0.06675
"598",152,"chromosome_1",0.06675
"599",152,"chromosome_1",0.06675
"600",152,"chromosome_1",0.06675
"601",152,"chromosome_1",0.06675
"602",152,"chromosome_1",0.06675
"603",152,"chromosome_1",0.06675
"604",152,"chromosome_1",0.06675
"605",153,"chromosome_1",0.10605
"606",153,"chromosome_1",0.10605
"607",153,"chromosome_1",0.10605
"608",154,"chromosome_1",0.25535
"609",155,"chromosome_1",0.25615
"610",155,"chromosome_1",0.25615
"611",155,"chromosome_1",0.25615
"612",156,"chromosome_1",0.23535
"613",156,"chromosome_1",0.23535
"614",156,"chromosome_1",0.23535
"615",156,"chromosome_1",0.23535
"616",156,"chromosome_1",0.23535
"617",156,"chromosome_1",0.23535
"618",157,"chromosome_1",1
"619",156,"chromosome_1",0.23535
"620",156,"chromosome_1",0.23535
"621",156,"chromosome_1",0.23535
"622",156,"chromosome_1",0.23535
"623",156,"chromosome_1",0.23535
"624",156,"chromosome_1",0.23535
"625",156,"chromosome_1",0.23535
"626",156,"chromosome_1",0.23535
"627",156,"chromosome_1",0.23535
"628",156,"chromosome_1",0.23535
"629",156,"chromosome_1",0.23535
"630",156,"chromosome_1",0.23535
"631",156,"chromosome_1",0.23535
"632",156,"chromosome_1",0.23535
"633",156,"chromosome_1",0.23535
"634",156,"chromosome_1",0.23535
"635",156,"chromosome_1",0.23535
"636",156,"chromosome_1",0.23535
"637",156,"chromosome_1",0.23535
"638",156,"chromosome_1",0.23535
"639",156,"chromosome_1",0.23535
"640",156,"chromosome_1",0.23535
"641",156,"chromosome_1",0.23535
"642",156,"chromosome_1",0.23535
"643",156,"chromosome_1",0.23535
"644",156,"chromosome_1",0.23535
"645",156,"chromosome_1",0.23535
"646",156,"chromosome_1",0.23535
"647",156,"chromosome_1",0.23535
"648",156,"chromosome_1",0.23535
"649",156,"chromosome_1",0.23535
"650",156,"chromosome_1",0.23535
"651",156,"chromosome_1",0.23535
"652",156,"chromosome_1",0.23535
"653",156,"chromosome_1",0.23535
"654",156,"chromosome_1",0.23535
"655",156,"chromosome_1",0.23535
"656",156,"chromosome_1",0.23535
"657",156,"chromosome_1",0.23535
"658",156,"chromosome_1",0.23535
"659",156,"chromosome_1",0.23535
"660",156,"chromosome_1",0.23535
"661",156,"chromosome_1",0.23535
"662",156,"chromosome_1",0.23535
"663",156,"chromosome_1",0.23535
"664",156,"chromosome_1",0.23535
"665",156,"chromosome_1",0.23535
"666",156,"chromosome_1",0.23535
"667",156,"chromosome_1",0.23535
"668",156,"chromosome_1",0.23535
"669",156,"chromosome_1",0.23535
"670",156,"chromosome_1",0.23535
"671",156,"chromosome_1",0.23535
"672",156,"chromosome_1",0.23535
"673",158,"chromosome_1",1
"674",159,"chromosome_1",1
"675",160,"chromosome_1",1
"676",161,"chromosome_1",0.12565
"677",161,"chromosome_1",0.12565
"678",161,"chromosome_1",0.12565
"679",161,"chromosome_1",0.12565
"680",161,"chromosome_1",0.12565
"681",162,"chromosome_1",1
"682",156,"chromosome_1",0.23535
"683",156,"chromosome_1",0.23535
"684",156,"chromosome_1",0.23535
"685",156,"chromosome_1",0.23535
"686",156,"chromosome_1",0.23535
"687",156,"chromosome_1",0.23535
"688",156,"chromosome_1",0.23535
"689",156,"chromosome_1",0.23535
"690",156,"chromosome_1",0.23535
"691",156,"chromosome_1",0.23535
"692",156,"chromosome_1",0.23535
"693",156,"chromosome_1",0.23535
"694",156,"chromosome_1",0.23535
"695",156,"chromosome_1",0.23535
"696",NA,"chromosome_1",NA
"697",NA,"chromosome_1",NA
"698",NA,"chromosome_1",NA
"699",156,"chromosome_1",0.23535
"700",156,"chromosome_1",0.23535
"701",156,"chromosome_1",0.23535
"702",163,"chromosome_1",1
"703",NA,"chromosome_1",NA
"704",NA,"chromosome_1",NA
"705",NA,"chromosome_1",NA
"706",NA,"chromosome_1",NA
"707",164,"chromosome_1",0.2955
"708",164,"chromosome_1",0.2955
"709",164,"chromosome_1",0.2955
"710",164,"chromosome_1",0.2955
"711",165,"chromosome_1",1
"712",165,"chromosome_1",1
"713",166,"chromosome_1",0.1663
"714",166,"chromosome_1",0.1663
"715",167,"chromosome_1",0.0759
"716",166,"chromosome_1",0.1663
"717",166,"chromosome_1",0.1663
"718",166,"chromosome_1",0.1663
"719",166,"chromosome_1",0.1663
"720",166,"chromosome_1",0.1663
"721",166,"chromosome_1",0.1663
"722",166,"chromosome_1",0.1663
"723",166,"chromosome_1",0.1663
"724",166,"chromosome_1",0.1663
"725",166,"chromosome_1",0.1663
"726",166,"chromosome_1",0.1663
"727",166,"chromosome_1",0.1663
"728",166,"chromosome_1",0.1663
"729",166,"chromosome_1",0.1663
"730",166,"chromosome_1",0.1663
"731",166,"chromosome_1",0.1663
"732",166,"chromosome_1",0.1663
"733",166,"chromosome_1",0.1663
"734",166,"chromosome_1",0.1663
"735",166,"chromosome_1",0.1663
"736",166,"chromosome_1",0.1663
"737",166,"chromosome_1",0.1663
"738",166,"chromosome_1",0.1663
"739",166,"chromosome_1",0.1663
"740",166,"chromosome_1",0.1663
"741",166,"chromosome_1",0.1663
"742",166,"chromosome_1",0.1663
"743",166,"chromosome_1",0.1663
"744",166,"chromosome_1",0.1663
"745",166,"chromosome_1",0.1663
"746",166,"chromosome_1",0.1663
"747",168,"chromosome_1",0.26945
"748",168,"chromosome_1",0.26945
"749",169,"chromosome_1",0.22285
"750",169,"chromosome_1",0.22285
"751",169,"chromosome_1",0.22285
"752",169,"chromosome_1",0.22285
"753",169,"chromosome_1",0.22285
"754",169,"chromosome_1",0.22285
"755",169,"chromosome_1",0.22285
"756",169,"chromosome_1",0.22285
"757",169,"chromosome_1",0.22285
"758",169,"chromosome_1",0.22285
"759",169,"chromosome_1",0.22285
"760",169,"chromosome_1",0.22285
"761",169,"chromosome_1",0.22285
"762",169,"chromosome_1",0.22285
"763",169,"chromosome_1",0.22285
"764",169,"chromosome_1",0.22285
"765",169,"chromosome_1",0.22285
"766",169,"chromosome_1",0.22285
"767",169,"chromosome_1",0.22285
"768",169,"chromosome_1",0.22285
"769",169,"chromosome_1",0.22285
"770",169,"chromosome_1",0.22285
"771",169,"chromosome_1",0.22285
"772",169,"chromosome_1",0.22285
"773",169,"chromosome_1",0.22285
"774",169,"chromosome_1",0.22285
"775",169,"chromosome_1",0.22285
"776",169,"chromosome_1",0.22285
"777",169,"chromosome_1",0.22285
"778",169,"chromosome_1",0.22285
"779",169,"chromosome_1",0.22285
"780",169,"chromosome_1",0.22285
"781",169,"chromosome_1",0.22285
"782",169,"chromosome_1",0.22285
"783",169,"chromosome_1",0.22285
"784",169,"chromosome_1",0.22285
"785",169,"chromosome_1",0.22285
"786",169,"chromosome_1",0.22285
"787",169,"chromosome_1",0.22285
"788",169,"chromosome_1",0.22285
"789",169,"chromosome_1",0.22285
"790",169,"chromosome_1",0.22285
"791",169,"chromosome_1",0.22285
"792",169,"chromosome_1",0.22285
"793",169,"chromosome_1",0.22285
"794",169,"chromosome_1",0.22285
"795",169,"chromosome_1",0.22285
"796",169,"chromosome_1",0.22285
"797",169,"chromosome_1",0.22285
"798",169,"chromosome_1",0.22285
"799",169,"chromosome_1",0.22285
"800",NA,"chromosome_1",NA
"801",NA,"chromosome_1",NA
"802",NA,"chromosome_1",NA
"803",NA,"chromosome_1",NA
"804",NA,"chromosome_1",NA
"805",170,"chromosome_1",0.20385
"806",NA,"chromosome_1",NA
"807",NA,"chromosome_1",NA
"808",169,"chromosome_1",0.22285
"809",169,"chromosome_1",0.22285
"810",169,"chromosome_1",0.22285
"811",169,"chromosome_1",0.22285
"812",169,"chromosome_1",0.22285
"813",169,"chromosome_1",0.22285
"814",169,"chromosome_1",0.22285
"815",NA,"chromosome_1",NA
"816",NA,"chromosome_1",NA
"817",169,"chromosome_1",0.22285
"818",169,"chromosome_1",0.22285
"819",169,"chromosome_1",0.22285
"820",169,"chromosome_1",0.22285
"821",169,"chromosome_1",0.22285
"822",169,"chromosome_1",0.22285
"823",169,"chromosome_1",0.22285
"824",169,"chromosome_1",0.22285
"825",169,"chromosome_1",0.22285
"826",169,"chromosome_1",0.22285
"827",169,"chromosome_1",0.22285
"828",169,"chromosome_1",0.22285
"829",169,"chromosome_1",0.22285
"830",169,"chromosome_1",0.22285
"831",169,"chromosome_1",0.22285
"832",169,"chromosome_1",0.22285
"833",169,"chromosome_1",0.22285
